Table 1
ID	OID	CF	LOC	QUOTE	NOTES	RE 0	DESC	ATT	CLG	FLR	DATE	SETTLEMENT DEF	DESC	SOURCE	SURL	END	
d22	^^^	N Ortega	pp 8-9	"Al comparar la esencia de los datos mexicanos, resulta que no concuerdan en la fecha de la existencia de Wallace, pero sí en cuanto á las particularidades del individuo y en cuanto al orígen del nombre de Belice; miéntras que de la comparacion de las noticias inglesas, americanas y alemanas, aparece una concordancia general en las fechas y en la existencia y carácter de Wallace; pero hay mayor diversion en la ortografía de este nombre. Concuerdan tambien en cuanto á la etimología, exceptuando á Squier, que prefiere el derivado de origen frances. [new para] Comenzando por el exámen del defecto de las autoridades mexicanas, á saber, el desarreglo cronológico, creemos poderlo corregir con la expresion de la confianza que inspiran los trabajos literarios del Señor Sierra. Este diligente escritor se hizo notable por su empeño en las investigaciones históricas, por su vasto conocimiento de los archivos yucatecos y por la prudencia de su crítica. No tenemos á la vista el periódico en que publicó su OJEADA HISTÓRICA SOBRE EL ESTABLECIMIENTO BRITÁNICO DE BELICE, pero entendemos que el estudio así intitulado, lo hizo por insinuacion del gobierno de la República, ó en todo caso, para que sirviera de guía en los conflictos diplomáticos que periódicamente se presentan entre México é Inglaterra con motivo de la conducta que observan los habitantes de Belize.[re este trabajo de Sierra, dice Suarez Navarro: ""En el FÉNIX DE YUCATAN hállase impresa una Memoria que probablemente debe existir en el ministerio de relaciones, sobre el establecimiento de los súbditos británicos en una parte del Estado, escrita por el Señor Don Justo Sierra""—Revoluciones ocurridas en Yucatan, pp 32-33] [new para] Para el Señor Sierra, la cuestion de Belice era una cuestion PRO DOMO, y su reconocido patriotismo nos ofrece una amplia base para asumir que agotó los veneros históricos más escondidos y olvidados. Que escribió ingénuamente, nos lo dice, por un lado el temor de comprometer su reputacion precisando una fecha y, por otro lado, su aceptacion de las pretensiones del Establecimiento á un orígen comparativamente remoto. Escritores menos hábiles han creido aumentar la fuerza de los derechos de México á la soberanía de Belice, [start p 9] ocultando la verdadera época de la fundacion del Establecimiento: esta conducta es pueril, y acaso sea tambien desfavorable para México. [nenw para] Consecuencia de lo que llevamos dicho es, pues, el considerar las palabras de Don Justo Sierra como resúmen de los mejores datos mexicanos,[""Para conjeturar cuál será la conducta de una person en un caso dado, es preciso conocer su inteligencia, su índole, carácter, moralidad, intereses y cuanto puede influir en su determinacion.""—Balmes, Cuestiones de existencia, s 2 entitled Juicios sobre los actos humanos] reservando para otra ocasion el exámen de la cronología y las noticias del Señor Carrillo,[El respeto á que por tanto motivos es acreedor el Señor Carrillo, hace inútil toda explicacion de la nota re Balmes ie re Cuestiones de existencia, y creemos que sin hacer mella á su carácter, se puede decir que en el libro COMPENDIO DE LA HISTORIA DE YUCATAN, hay menos severidad que la que acostumbra la mas séria entre las ""ninfas del verde Pindo habitadoras."" Las noticias que el Señor Carrillo registra son, sin embargo, muy dignas de recuerdo y de estudio, y suplicamos al lector que las tenga presentes para contrastarlas con las conclusiones que hacemos en este escrito.] y desechando lo que dice el Señor Suarez Navarro por estar tergiversado é incompleto. Y como el Señor Sierra manifiesta que Wallace se presentó en la costa de Yucatan á mediados del siglo décimosétimo, es decir, hácia 1650, y como esa es la época que señalan los investigadores extranjeros al mismo acontecimiento, resulta que, generalmente hablando, hay cierta concordancia de tiempo entre las noticias mexicanas y las extranjeras.[Ya hemos dicho, repitiendo sus palabras, que el Señor Suarez Navarro escribia AD MANDATUM, y que no se daba el trabajo de buscar y comparar noticias. / Aparte de las autoridades citadas, nos es dado presentar la siguiente: ""......y que el motibo de no hauer dado quenta de lo referido hauia sido el creer que estaua â cargo de hacerlo directam.te dho Gov.or (de Yucatan), y el saberse que de Ynmemorial tpo han tenido Yngleses las mismas rancherias en los contornos del rio de Valis""—Carta del Rey al Marqués de Casafuerte fechada el 22 dic 1725. THE STATESMAN'S YEAR BOOK (London 1875) pág. 274, contiene un cuadro cronológico de la adquisicion de las diversas colonias que forman el Imperio Británico, y en él figura Belice como ADQUIRIDO en 1670. En un apéndice histórico al opúsculo que con el título de LE DIFFÉREND AGLO MEXICAIN publicó en Marsella (1873) el Señor Don Manuel J. Cevallos, se lee lo siguiente: —""Charles II, Roi d'Angleterre avait demandé en 1672 á Sir Thomas Lynch, gouverneur de Jamaica, sous la protection duquel se trouvaient les anglais exploitant le bois de Campêche dans le Yucatan, un rapport detaillé sur les établissements anglais de la Belice et son commerce. Dans son rapport, Sir Thomas Lynch, constatant les efforts des colons anglais pour obtenir le droit de s'établir dans la Belice, efforts couronnés do succès par le traité de 1670, ajoutait. Quant au commerce, il est très important et peut procurer, à lui seul, autant de revenus à l'Etat que celui provenant de toutes les autres colonies anglaises.” No obstante estos antecedentes, la llamada colonia de Belice no figura aún como establecimiento inglés en la carta que formó Henry Popple con el título de A MAP OF THE BRITISH EMPIRE IN AMERICA WITH THE FRENCH SPANISH AND DUTCH SETTLEMENTS ADJACENT THERETO (London 1733) en la que sin embargo está marcada la Laguna de Términos como posesion inglesa. Tampoco aparece como posesion británica en la gran carta de B. Edwards Esq., corregida en Weimar. En esta carta, á la vez que Yucatan figura como país español, la costa de Bacalar lleva la inscripcion: GEGEND DER FARBENHOELZER y ya la bahía de Chetumal tiene el nombre de Hannover Bay.—CHARTE VON WEST INDIEN NACH DER GROSSEN CHARTE DES B EDWARDS ESQ NEU ENTWORSEN VON F L GRUSSEFELD (Weimar 1795).]"	"Suarez Navarro en su Informe sobre las frecuentes revoluciones ocurridas en Yucatan, Mexico, 1861, p 33, escribiendo oficialmente, cita de memoria, y comete errores tan notables como el de señalar los PRIMEROS AÑOS del siglo décimosexto como fecha de las incursiones piráticas en Yucatan. /v N Ortega p 18 no 17"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d23	^^^	Peniche	p 219	"Algo distinto del orígen de Belice, como nos lo refiere Sierra, es el que trae Coxe en su obra titulada España bajo el reinado de la casa de Borbon, cap. 43, refiriendo la ocupacion de ese lugar por la corona de Inglaterra á un tiempo cercano á la conquista de Jamaica por Cromwell. Sin embargo, en las mismas palabras del historiados inglés se encuentra una confirmacion plena de cuanto dice Sierra. El historiados inglés esquiva asentar fechas sobre este punto, habla en general de la bahía de Honduras, y siempre se encuentra que andaba á tientas en esta parte de su historia, pues asegura que los ingleses crearon establecimientos en la bahía de Campeche, lo cual no es exacto; pero confiesa que en la bahía de Honduras y en la costa de mosquitos se extendió el comercio ilegal de los ingleses con las colonias españolas cuando desaparecieron los piratas. Mas adelante verémos que no se puede fijar un orígen mas seguro del establecimiento de Belice, que el que nos dice el escritos mexicano."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d24	^^^	Swayne	p 162	"And so we presently hear, in the year 1638, of a start being made in British Honduras by a small company of shipwrecked British sailors who maintained themselves in this, at that time, unoccupied country by hunting the manatee, the original of the mermaid of romance, and soon settled down to cut and export logwood. Logwood at its best rose to £100 per ton, and this very profitable trade soon attracted new settlers, for thirty-three years later, when the inabitants numbered 700, the Governor of Jamaica reported to the King of England that the settlement of Belize ""had increased H.M.'s Customs and the national commerce more than any of H.M's Colonies."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d25	^^^	Reads	no 375 for 27 May 1732 p 3 para ^^^	"As to the State of the Bay of Honduras, I shall give it you as briefly as possible. The ancient City of Bacalar, situate in that Part of the Province of Yucatan, which lies on the Bay of Honduras, wsa twice sack'd, and at last totally ruined by the English many Years ago; on which the Logwood-Cutters of that Nation, who had settled on the River of Valis, possessed themselves of the New River and that of the Hondo; which last is distant from the Ruins of Bacalar about five Leagus. Here they built a great many Houses and Hutts, and employ'd Multitudes of Negroes in cutting Logwood, which was transported to Jamaica and Europe by Numbers of Vessels trading from thence to the Bay."	16th-17th century sackings of Bacalar occurred in sd sd 15^^^ / sd sd 1617 / sd sd 1642 / sd sd 1648 / 29 May 1652 /v ^^^	^^^	^^^	^^^	1617	1652	prior to Bacalar sacking	^^^	the English settle Hon	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d26	^^^	Finamore	p 23	"As with Cape Catoche, Cozumel Island, and the Bay of Campeche, English mariners were attracted to the coast and river valleys of central and northern Belize for the abundant stands of logwood therein."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d27	^^^	B-Thomas	p 141	"Asturias claims that Wallace set sail from England on May 14th 1603 and arrived at the mouth of the river Belize, where he established a settlement. He then became disillusioned by squabbling among his companions and returned to England in 1617 where he died in 1621."	"Quote content from Asturias p ^^^ / The [published Asturias-Burdon] correspondence makes clear that Asturias had no primary sources for his claims about Wallace, even repeating his statement from the first edition that he had no proof (‘sin tener ningún comprobante, me imagino que es en esta expedición cuando él llega a la desembocadura del Río Viejo, que desde entonces comienza a llamarse de Wallace o BELIZE’). /v B-Thomas pp 141-142 /// Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	establish a settlement	2n	1603	1617	after set sail from England in 1603 / before return to England in 1617	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d28	^^^	Temple	p 116	"At a very early period, as far back as the Protectorate, the various kays in the Bay of Honduras were the resorts of pirates and bucaniers; and many a wild adventure, many a midnight carouse, many a deed of blood, have those little isles been witness to, when Dampier and other free companions of the ocean committed their depredations in the Caribbean Sea. That celebrated navigator, who wrote an account of his voyage to the Bay of Honduras, in the year 1674, gives some amusing sketches of the proceedings of those early settlers. Speaking of the logwood trade, he says:—""This trade has its rise from the decay of privateers; for, after Jamaica was well settled by the English, and a peace established with Spain, the privateers, who had hitherto lived upon plundering the Spaniards, were put to their shifts, for they had prodigally spent whatever they got, and now, wanting subsistence, were forced either to go to Petit Guavas, where the privateer trade still continued, or into the Bay of Logwood. The more industrious of them came hither; yet even these, though they could work well enough if they pleased, yet they thought it dry business to toil at cutting wood. They were good marksmen, and so took more delight in hunting; but neither of those employments affected them so much as privateering; therefore, they often made sallies out in small parties amongst the nearest Indian towns, where they plundered and brought away the Indian women to serve them at their huts, and sent their husbands to be sold at Jamaica; besides, they had not their drinking bouts forgot, and would still spend £30 or £40 at a sitting aboard the ships that came hither from Jamaica, carousing, and firing off guns three or four days together, and though afterwards many sober men came into the bay to cut wood, yet by degrees the old standers so debauched them, that they could never settle themselves under any civil government, but continued in their wickedness till the Spaniards, encouraged by their careless rioting, fell upon them, and took most of them singly in their own huts, and carried them away prisoners to Campeachy or La Vera Cruz."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d29	^^^	Brockhaus	vol 2 p 616	"Balize , von Engländern British Honduras genannt, ist der Name eines Landstrichs auf der Ostküste der Halbinsel von Yucatan, auf welchem England im vorigen Jahrhundert von Spanien das Recht erhielt, Farbe= und Nußhölzer zu fällen, und welchen es seitdem bei den verschiedensten Gelegenheiten zu einer förmlichen Colonie zu machen gesucht hat. Rechtlich hat es nie mehr als ein Servitut auf B. besessen , keineswegs ein territoriales oder Souveränetätsreht, das vielmehr der Republik Guatemala und theilweise dem mexic. Staate Yucatan gehört. In amtlichen Documenten wird daher B. nicht als Colonie, sondern als «Ihrer Majestät Niederlassung in der Bai von Honduras» bezeichnet. Der Ursprung dieser Niederlassung gründet sich auf den Verfall des Flibustierwesens zu Anfang des vorigen Zahrhunderts. Engl. Abenteurer, denen das Seeräuberhandwerk zu gefährlich ward, benutzten ihre genaue Kenntnis der Festlandküste, um in der an kostbaren Farbehölzern veichen Gegend zwischen dem Balize-und Hondoflusse ein anscheinend ehrliches Gewerbe zu beginnen."	^^^	Old to Hondo R	English adventurers begin apparently honest trade	2p	1701	^^^	during or after decline of filibustering / at the beginning of the last century [18th]	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d30	^^^	Egli	p 50 sec B item Balize	"BALIZE, die jetzige haupstadt von Britisch-Honduras, benannt nach dem Schotten Wallace (Wallis), einem der abenteurer, welche (um 1610) auf eigne faust in dem (damals span.) lande sich festzusetzen versuchten. Die Spaniar schrieben den namen VALIZE oder BALIZE. ZfAE [(Berliner) Zeitschrift für Allgemeine Erdkunde]. 1858 p. 130."	^^^	Hon	Scotsman and adventurers try to establish themselves	2p	^^^	^^^	around 1610	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d31	^^^	Donohoe	p 27	Bancroft in his History of Central America states that Wallace arrived with 80 men at the Belize River.	The records that have survived tell nothing of his [Wallace's] arrival [to Hon] or the Early settlement but only of his return and [start p 28] death in 1621. /v Donohoe pp 27-28	Old R	Wallace with 80 men arrive	0	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d32	^^^	Asturias aa	p 15	"Bancroft, History of Central America (pag. 624, Vol. II) and Lic. Manuel Peniche. Historia de las Relaciones de España y México con Inglaterra sobre el establecimiento de Belice (pág. 2) say about the same [that Wallace established Belize]: ""About the middle of XVII century, the part of Yucatán, near the bay of Honduras, was left by the spaniards, because Bacalar, the only establishment that there was, had been destroyed by the irruption of the filibuster Abraham and by the insurrection of the indians of that district. That came the scotchman Peter Wallace, with 80 fellows, and took possession of the mouth of the river and built some huts. They began to call this river Wallace, later Wallix and at least Belize."" Which is the true?"	Quote in Asturias to Burdon letter of 19 Oct 1930 /v Asturias aa p 14	Old R	scotchman with 80 fellows take possession and builds some huts	0	^^^	^^^	about middle ov XVII cent / after Bacalar destroyed by Abraham and insurrection of indians	take possession	Wallace settles Hon	^^^	^^^	###	
d33	^^^	Hon Alm	for 1839 p 2	"Belize owes its origin to a Scotch Corsair Chief of the name of Wallace, a native of Falkland in Kinrosshire. At the time that these formidable pirates were driven from Tortuga, a small island situated a few miles north of St. Domingo, Wallace to escape from the just vengeance of the Spaniards fled for security amongst the numerous islands on the coast of Yucatan, and finally settled at the mouth of the River Belize. Here after many vicissitudes both by sea and land Wallace fixed his residence, erected a few log huts and a small fort alice, which stood on the site now occupied by the handsome premises of Messrs. Boitias & Delande."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d34	^^^	Squier	pp 575-576	"Belize, or, as it is still styled in official documents, ""Her Majesty's Settlement in the Bay of Honduras,"" owes its origin to the logwood-cutters, who frequented the coasts of Yucatan, Honduras, and Nicaragua after the decline of piracy in the [start p 576] sea of the Antilles. Most of them had been free companions, and were well acquainted with the coast and its resources. The district was rich in dye-woods, and at once became a principal place of resort with the English cutters."	"A large part of the facts contained in this chapter [cap 26 re Belize] are drawn from an able paper ""On Belize, or British Honduras: its History, Trade, and natural resources,"" ready by Chief Justice Temple, of Belize, before the Royal Society of Arts, January 1857, and published in the Journal of the Society, vol. v., No. 217. /v Squier p 575 fn sn /// Dampier, who visited the Bay of Honduras in the year 1674, gives some amusing sketches of the proceedings of those early settlers. /v Squier p 576 fn sn"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d35	^^^	Z Castellanos	p 175	"Bodegas.—En el último tercio del siglo XVI, nuevos adversarios interrumpieron la tranquilidad de las colonias de América. [new para] El Reino de Guatemala, mantenía constante zozobra con las noticias de asaltos e incendios que llevaban a cabo los piratas y bucaneros en las costas de ambos mares, especialmente en Trujillo y Puerto Caballos. [new para] Con tal motivo, en 1573, el Gobernador don Pedro de Villalobos dispuso que la carga y descarga de mercaderías se hiciera en Golfo Dulce en vez de Puerto Caballos, estableciendo una lonja en un paraje situado a tres leguas y media del sitio que había ocupado Nueva Sevilla, al Sudoeste del lago de Izabal, junto a la ensenada del Matilisguate; y como era natural, se fué formando allí una población que llamaron Bodegas, la que, según Fuentes y Guzmán, tuvo algún auge en el último cuarto del mismo siglo, favoreciéndole la llegada de la que llamaban ""Flota de Honduras"", y comunicándose con la capital del Reino por medio de un camino de herradura que ordenó construir el mismo Gobernador Villalobos."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	###	
d36	^^^	Winzerling	p 57	"Bridges in his ""Annals of Jamaica, London, 1828,"" “says that Willis, ex-governor of Tortuga, sought his retreat on the shores and isles of Yucatan, where a multitude of his subjects or friends quickly joined him, and this notorious buccaneer was the first Englishman who settled on the banks of the river to which he gave his name in 1638."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d37	^^^	Britannica	art place/Belize sec History para 3	British buccaneers and logwood cutters settled on the inhospitable coast in the mid-17th century.	"Article contributors = William J. Griffith [Emeritus Professor of History, University of Kansas, Lawrence; Director, Center of Latin American Studies, 1970–74. Author of Empires in the Wilderness: Foreign Colonization and Development in Guatemala, 1834–1844], O. Nigel Bolland [Professor of Sociology, Colgate University, Hamilton, New York. Author of Belize; Struggles for Freedom: Essays on Slavery, Colonialism, and Culture in the Caribbean and Central America; and others.], Alfred E. Alford [Managing Director, Media & Marketing Ltd., Belize.]"	Hon or Old R	British buccaneers and logwood cutters settle	2p	^^^	^^^	in the mid-17th century	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d38	^^^	B-Thomas	p 139	"British settlement of Honduras, of which Belize is the capital, cannot be traced to be of any greater antiquity than from the administration of Oliver Cromwell"	Quote from Hon Alm for 1826 p 5	Hon or Old R	^^^	0	^^^	^^^	during administration of Cromwell	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d39	^^^	B-Thomas	p 142	"Burdon misquotes Asturias by stating that Wallace arrived in Belize in 1617, when Asturias actually said he had ARRIVED in 1603 and LEFT in 1617."	"Quote content from Burdon 1 p 3 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	^^^	^^^	2n	1617	1617	upon arrival in 1617	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d40	^^^	N Ortega	p 7	"Casi todos los escritores mexicanos que se han ocupado del orígen de la palabra, no han hecho sino consignar con más ó ménos exactitud los datos conocidos del Señor Sierra; pero no así el Presbítero Carrillo, persona estudiosa, quein al hacer la reseña biográfica de Don Antonio de Figueroa y Silva, gobernador de Yucatan de 1726 á 1733, apoyándose en cierta publicacion hecha en el MUSEO YUCATECO [ie column Manuscritos inéditos in serial MUSEO YUCATECO], dice que el rio (Mopan) comenzó á llamarse Wallix despues de que los ingleses, desalojados de la Laguna de Términos, fueron á posesionarse de él, acaudillados por un filibustero llamado Wallace, y añade que esto acaeció en 1717.[cf Carrillo, Compendio de la historia de Yucatan, Merida, 1871, p 55]"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d41	^^^	C Ancona	pp 210	"Cuando los ingleses fueron desalojados de la laguna de Términos fueron á posesionarse del extremo meridional de la Península, mas allá del Rio Hondo, y que por el nombre del caudillo de aquellos filibusteros, Walasse, aquel lugar comenzó á llamarse Walix (Belice)."	^^^	Old to Hondo R	ingleses filibusteros desalojados de Términos posesionanse del extremo meridional de Yuc mas allá de Hondo	2p	^^^	^^^	cuando ingleses fueron desalojados de L de Términos	^^^	Wallace settles Hon as haven	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d42	^^^	Azpiroz	p 701	"Despues de la conquista de México por las tropas españolas, aparecieron varias hordas de piratas, que se establecieron definitivamente en Honduras, desde donde se organizaban para hacer sus correrías sobre las costas del Golfo de México; fueron varias veces rechazados y perseguidos por las tropas españolas, y ya en el siglo diez y ocho sus instintos feroces comenzaron á rebajarse, y se limitaron á vivir pacíficamente en la colonia de que se trata, reconociendo al gobierno inglés como su soberano."	"Estracto del expediente relativo á la colonia de Belice o Wallis /v Azpiroz pp 698, 701"	Hon B	vars hordas de piratas establecense definitivamente	2p	^^^	1701	antes del siglo diez y ocho / antes de dichas hordas limitarse á vivir pacíficamente en colonia	^^^	^^^	^^^	^^^	###	
d43	^^^	Peniche	p 218	"Despues de sus correrías [de filibusteros y bucaneros a mediados del siglo XVII], marchaban á dividirse sus robos á las provincias en que recibian proteccion, ó á los lugares deshabitados de las costas. ""Era tanta la audacia de estos aventureros, dice el eminente escritor D. Justo Sierra,[Fenix, column Ojeada histórica sobre el establecimiento británico de Belice] que solian permanecer por meses y aun por años enteros ocupando algunas islas y sitios próximos á las poblaciones españolas, sin que recibiesen por ello la menor hostilidad ó molestia."""	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d44	^^^	G Palaez	vol 2 cap 63 p 124	"Destituidos los corsarios ingleses de todo socorro en las islas Guanajas mediado el siglo 17 con haber sacado á sus naturales, incendiado sus ranchos y talado sus sementeras, donde se surtian de bastimentos y hacian mansion, hubieron de buscar lo uno y lo otro en la tierra adentro de la costa, en que hubiesen sementeras, ranchos y naturales moradores de la tierra, para no carecer de su provision. Todo esto hallaron en las provincias del Chol, Manché, Mopan y Typú situados en lo largo de la costa de la Verapaz y el Lacandon, desde el Golfo-dulce hasta Yucatan. El p. Delgado, misionero domínico, en una entrada que hizo pasando adelante del Manché de tránsito para Yuctan con el objeto de hallar camina para aquella provincia y abrir comunicacion con ella, da el derrotero de su viage y mucha razon de la poblacion que descubrió al paso, en relacion de que se ha hecho mérito y transcribe Ximenez lib. 5 cap. 33. [new para]"	G Palaez 2 cap 63 entitled Entradas de corsarios á la costa de Verapaz /v G Palaez 2 p 124	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d45	^^^	Ungewitter	vol 2 pp 693-694	"Die Anfänge  der britiſchen Niederlassungen reichen bis 1640 zurüf, wo wahrscheinlich westindische Flibustier durch Schiffbruch an diese Küste getrieben wurden. Bon einem derselben, den Schotten Wallace (Wallis, Willis) soll sich der Name Valize, Balize (wie die Spanier schrieben) herleiten, den die Engländer in Belize umwandelten. Jedoch besonders seit dem Beginn des 18. Jahrhunderts vereinigte sich bei den Engländern mit dem Bedürfnisse nach den hier befindlichen werthvollen Färbe-und anderen Hölzern das Streben, von festen Niederlassungen aus, auf dem Wege des Schmuggelns, die Strenge der spanischen Colonialsperre zu durchbrechen, und so entstand die jezige Ansiedelung, die jedoch ihre völfer-[start p 694] rechtliche Anerfennung erst durch den Versailler Frieden vom 3. September 1783 erhielt."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d46	^^^	N Ortega	pp 6-7	"Don Justo Sierra, distinguido literato mexicano, es el escri- [start p 7] tor que mas repite la opinion de que el nombre de Belice está ligado con el del aventurero Wallace. Sus datos están basados en la tradicion, y son los mas abundantes. El resúmen de ellos es: que Wallace se llamaba Peter, que era un famoso filibustero escocés, y que en union de unos ochenta compañeros se estableció en la costa oriental de Yucatan á mediado del siglo décimosétimo, construyendo una trinchera á orillas de un rio, al cual le dieron su nombre; nombre que primero degeneró en el de Wallix y por último en el de Belice.[cf Fenix column Ojeada histórica issue ^^^ p ^^^]"	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d47	^^^	Robertson	vol 2 p 331	"During a long period, no European nation intruded upon the Spaniards in those [Hon, Yuc] provinces, or attempted to obtain any share in this branch of trade. But after the conquest of Jamaica by the English, it soon appeared what a formidable rival was now seated in the neighbourhood of the Spanish territories. One of the first objects that tempted the English, was the great profit arising from the logwood trade, and the facility of wresting some portion of it from the Spaniards. Some adventurers from Jamaica made the first attempt at Cape Catoche, the southeast promontory of Yucatan, and by cutting logwood there, carried on a gainful traffic. When most of the trees near the coast in that place were felled, they removed to the island of Trist, in the Bay of Campeachy; and in latter times, their principal station has been in the Bay of Honduras. "	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d48	^^^	Asturias aa	pp 11-12	"El 3 de abril de 1603 muere la reina Isabel y con esto pierde Raleigh su buena posición; sube al trono de Inglaterra Jacobo VI, hijo de Maria Estuardo, con el nombre de Jacobo I, procesa a Raleigh y lo condena a muerte el 19 de octubre, sentencia que no se llevó a cabo sino 15 años después. Con esto se retiró Wallace de su antiguo Jefe y Capitán y se dedicó a correrías por su cuenta. El 7 de marzo de 1604 fue reconocida la hermosa bahia de Santo Tomás de Castilla, que antes se llamaba de Atique o Amatique, y que se encuentra a poca distancia de lo que hoy llaman Puerto Barrios. Es indudable que este descubrimiento llamó la atención de los piratas, puesto que [start p 12] vemos que en 1607 ya fué robado e incendiado por ocho naves holandesas al mando del conde Mauricio, y aunque algunos creen que Wallace se instaló en Belice hasta el año 1617, es probable que esto haya ocurrido antes. Con el oro obtenido en Cádiz y, probablmente aumentado en otras correrías, Wallace compró seis buques que tripuló con la gente más desalmada de Londres, y se dirigió a América el día 14 de mayo de 1603, cuarenta días después de la muerte de la reina Isabel. Sin tener ningún comprobante, me imagino que es en esta expedición cuando él llega a la desembocadura del Río Viejo, que desde entonces comienza a llamarse de Wallace o BELICE. Esta suposición la confirmo porque Wallace después de fundar la ranchería de Belice, quedó como jefe de ella; pero los aventureros que le había acompañado eran de tan mala índole, que por la menor dificultad en el reparto del botín, reñían y se apuñalaban, no respetando la autoridad de Wallace. Este, decepcionado, abandonó Belice, disigiéndose a Inglaterra, donde murió pocos años después. Ahora bien : Wallace murió en 1621, pocos años después de abandonar Belice lo que sí resulta si Wallace abandonó Belice por el año de 1617; pero no es posible que ese mismo año lo hubiera fundado, que tan pronto hubiera tomado incremento al extremo de ya no respetar la autoridad de su fundador. Es pues más verosímil que en su viaja a América, emprendido en 1603 haya llegado a la desembocadura del Rio Viejo, que la ranchería fué aumentando en población e importancia, debido al punto estratégico y a la tranquilidad en que vivían, con la ventaja de los grandes beneficios que les proporcionaba el comercio del palo de tinte o de Campeche."	^^^	Old R	llegar a rio Viejo y fundar ranchería	1p	1603	1621	despues de viaje a América de Wallace de 1603 / despues de reconocerse Sto Tomás de Castilla / antes de muerte de Wallace de 1621	instalarse / fundar ranchería	Wallace settles Hon	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
