E 1—320 / Events.
ID	NO	TYPE	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 		O		13 September 1638	29 October 1638	Bacalar reductions	"Bacalar cabildo and vecinos reduce Maya near Bacalar and along Hon coast, who had previously abandoned their towns, on prompting or threats from Tipuj"	"Bacalar, Zacatan, Chinam, Xibun, Soite, Holpatin, Pacha, Yumpeten, Manan, Tamalcab"	Alcalde of Bacalar Capt Luis Sánchez de Aguilar / Francisco Sánchez de la Seña / Cristóbal Delgado / Bartolomé Gómez de Santoyo / Juan Martín de los Cedros / 10 Bacalar vecinos										"MEXICO,360 [Luís Sánchez de Aguilar et al. to Gov, 20 sep 1638]
MEXICO,360 [Luís Sánchez de Aguilar to Gov a 29 oct, 5 nov 1638]"	Jones 1 p207	"Chinam residents reduced to Holpatin, while others are reduced fully or partially to their former residences /via Jones 1 p208 /MEXICO,360"	
E 44	44		Hos 13	10 February 1639	10 February 1639	Sacking of Guanaja	Diego el Mulato raids and burns native hamlet on Guanaja	Guanaja	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Capt. Francisco Mejía del Tobar / Cacique of Guanaja Alonso Gaitán	Diego el Mulato 2 Ships						Sacked and burnt Guanaja			"GUATEMALA,16,R.2,N.13 f 55r"	"Cardona Amaya p115, p49-50"		
E 45	45		Hos 13	1 May 1639	30 September 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Trujillo"	"Prov, Trujillo"	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Francisco Mejía del Tobar / Alférez Mayor of Tru Hernando Sarco / Alférez of Tru Roque de Vargas / 6 cavalry / 13 vecinos of Tru	Gov of Prov Nathaniel Butler / William Jackson / 2 Ships 200 men w Miskito and Tolupan allies			1 buccaneer held	vecinos of Tru evac < 15 Jun 38 t ?	3 Sp craft seized				"GUATEMALA,16,R.2,N.13 f 87v-88r
Sloane MS 758 entries 28 Mar, 31 May, 6, 20, 21, 30 Jun 1639
Harlow 23-25"	"Cardona Amaya p115, p59
Kupperman p278-9 n30-1
Goslinga p554 no 76 = Burns p210
Harlow vi
Offen 11 p28-29
Newton 257"	"Native allies from Roatan or Guanaja, possibly under duress /via Cardona Amaya p69 /GUATEMALA,16,R.2,N.13 f 214-5, though see Offen 11 p28-29 on non-coerced alliance with Pech of Guanaja -- On October 15, 1639, Butler received a letter ""from ye Inhabitant Indians of the Iland of Guanaho [Guanaja]; desiringe to be brought off from thence from the cruelties of the Spaniarde ...”/via Offen 11 p29 /Butler, Diary -- 9 Jun, 15 Oct, 4 Nov 1639

Native allies from Cape Gracias a Dios not under duress /via Kupperman 278-9

Almost certainly did not camp in Hon /via Kupperman p278-9

Seizure on 6 Jun 1639 /via Oxford DNB -- Butler [Boteler], Nathaniel

Escaped from buccaneers = Andrés García, of Seville, impressed by William Jackson on Dec 1638 near Cartagena

Imprisoned buccaneer = Richard Buyssi, Eng buccaneer since 1628

Cristobal Rodriguez, Diego de Rivera, and two other vecinos of Truxillo desert Sp in favour of Gov. Butler 

27 Aug 1639 -- Capt. Jackson sells money, plate, indigo, sugar in Boston, under commission of Prov Co /Winthrop 1 309-310
4 Jan 1641 -- Capt. Jackson attends the [Prov] Co with indigo /CSPC I p316 /via Jackson vi
9 Mar 1641 -- indigo rec'd fm Capt. Jackson /CSPC I p318
29 Mar 1641 -- last year [1640] Capt. Jackon brought home retribution /CSPC I p319"	
E 46	46		Hos 13	1 September 1639	15 September 1639	Sacking of Roatan	"Buccaneers or privateers, with native allies, raid native hamlet on Roatan, and after a failed attempt to capture the residents, burn the hamlet"	"Roatan, Utila"	"Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Francisco Mejía del Tobar / Aférez Mayor of Tru Hernando Sarco / Alférez of Tru Roque de Vargas / Capt. Luis Ochoa de la Torre / Capt. Cosme González / Sarg. Diego Romero / Cristóbal Rodríguez, Ruiz de Ayala / Alcalde of Ruatan Pedro Murillo"	2 Ships / Cacique of Guanaja Alonso Gaitan / natives of Guanaja			1 Sp Cristóbal Rodríguez held / later liberated		2 Sp ship seized / then 1 returned without cargo	100 cargas of cassava / Ruatan burnt / plantales y fructos burnt			"GUATEMALA,16,R.2,N.13 f 110r-v"	"Cardona Amaya p115, p72"	xxx	
E 47	47		Hos 13	15 December 1639	3 January 1640		Buccaneers or privateers roam off Sp Hon	"Guanaja, Amatique"	Gov of Sp Hon Francisco de Ávila Lugo	4 Ships									"GUATEMALA,16,R.2,N.13 img 258-259"	Cardona 80		
E 48	48		Hos 13	1 March 1640	30 March 1640	Sacking of Omoa	"Buccaneers or privateers raid unknown number of towns or hamlets near Omoa, Golfo Dulce, and after camping Utila, raided Omoa again, and finally engaged with natives at Utila"	"Omoa, Golfo Dulce, Utila"		8 Craft									"GUATEMALA,16,R.2,N.13 f 140r-v"	"Cardona Amaya p117, p83-5"	xxx	
E 49	49	O		28 May 1640	30 May 1640	Capture of Providence	"Cartagena military expedition against Providence, shortly repulsed"	"Cartagena, Prov"	Gov of Cartagena Melchior Aguilar / Antonio Maldonado y Tejada / 1 Gal 6 Frigs / 800 soldiers 200 Neg	Gov of Prov Carter									"SANTA_FE,223 -- a 11 sep 1641
BL Add MS 36323 f 297
Mus Nav, Col Nav, v 25 [Carta é informaciòn enviada por D. Juan Bitrian de Briamonte, 29 jun 1640]
Sanchez, Rel, xxx"	"Kupperman p336 n49
Burns, Brit W Ind 2 ed p210
Newton 295"	"Gov. Carter marred his victory by putting to death the Spanish prisoners he had taken [> 100 men, 2 captains slain or taken], though their lives had been promised them /Newton 298"	
E 50	50	O		31 August 1640	31 August 1640	Fr Capture of Tortuga	"Huguenot crew from St. Kitts, under commission of Fr Gov de Poincy, capture Tortuga and expel Englishmen"	"St. Kitts, Port Margot, Tortuga"		Pres of Tortuga [William?] James / John Pym	Fr Gov of St Christopher Phillippe de Longvilliers de Poincy / Le Vasseur / 49 buccaneers or Calvinists								"Terte, xxx
Charlevoix, v 2, p7 onwards"	"Newton 280-282
Haring 63"	"an English adventurer [probably Capt. Fload /Haring fn 98 /CSPC I p313-14], some time after the Spanish descent of 1638 [on few Frenchmen settled at Tortuga], gathered a body of 300 of his compatriots in the island of Nevis near St. Kitts, and sailing for Tortuga dispossessed the few Frenchmen living there of the island. According to French accounts he was received amicably by the inhabitants and lived with them for four months, when he turned upon his hosts, disarmed them and marooned them upon the opposite shore of Hispaniola. /via Haring 63 /Charlevoix livre 7 p10-12 /Mémoire envoyé aux seigneurs de la CIA par M. de Poincy, 15 Nov 1640 [in P. de Vaissière, Saint Domingue, Paris, 1909, in Appx. I]

By the end of 1639, ... [Tortuga] was occupied by some 300 inhabitants, mainly Eng, but with a large admixture of Frenchmen /Newton 280 [cites partially BL Egerton MS 2395 f 508 / Charlevoix III 7]

[After French Capture in 1640] the English [were] expelled /Newton 280, and sailed away to Prov /via Haring 64 /Charlevoix livre 7 p10-12 /Mémoire envoyé aux seigneurs de la CIA par M. de Poincy, 15 Nov 1640 [in P. de Vaissière, Saint Domingue, Paris, 1909, in Appx. I]

Charlevoix calls this man [Pres James] Willis ... Providence records repeatedly give the leader's name as Pres James. His real name may have been William James for Charlevoix's spelling of English names is very erratic, e.g. Waemaerd for Warner /Newton 281 fn 10

[T]henceforward Tortuga remained in French hands [despite Sp attacks in 1643, 1654] /Newton 282 = the coming of Levasseur the French had gradually elbowed them [Eng previously at Tortuga] out of the island, and compelled them either to retire to the Lesser Antilles or to prey upon their Spanish neighbours /Haring 78"	
E 51	51		Hos 13	1 January 1641	31 December 1641	Sacking of Trujillo	"Diego el Mulato sacks and burns Trujillo, after which they venture inwards and kidnap women"	"Trujillo, Olancho"	Gov of Sp Hon Melchor Alonso Tamayo / Alcalde Francisco Mejía del Tobar / 11 men	Diego el Mulato “Diego Diaz Lucifer”									"GUATEMALA,44A,N.39"	"Cardona Amaya p117, p85-7"	xxx	
E 52	52		Hos 13	1 January 1641	31 December 1641		Dutch buccaneers or privateers raid at least two Maya hamlets and capture two Sp during Fuensalida misión	"Old, Sittee"	Bacalar Vecino Lucas de San Miguel / Franciscan Fray Martín Tejero	Alcalde of Soite Diego Canche			2 Sp held for many days			"Soite, Cehake towns [hamlets?] raided"			Cogolludo 653—6	Jones 89 p224 n23	"Soite, Cehake location /via Jones 89 xv—xvii, p224"	
E 		O		24 April 1641	30 August 1641	Fuensalida misión	"Franciscan misión headed by Fuensalida seeks to bring recently rebelled Ma in Bacalar province into submission to Sp, whereupon one party are denied passage via Tipuj, and are compelled to retreat at Zaczuz and Hubelna, while the other party off the coast of Hon meets with success [in Manche Chol towns = Soite, Cehake, Manan]"	"Merida, Bacalar, Chinam, Lamanai [New R Lagoon], Labouring Creek, Boxelac, Chantome, Zaczuz, Hubelna, Rancho del Obispo [Chetumal], Soite, Cehake, Manan, Zula [caye], Campin"	"Gov of Yuc Marqués de Santo Floro / Bishop of Yuc Dr. Juan Alonso Ocon / Franciscan fray Bartolomé de Fuensalida / 3 Franciscans = Juan de Estrada, Bartolomé de Becerril, Martín Tejero / Alcalde of San Juan Extramuros [Ma section of Bacalar] Francisco Chable / 14 Ma paddlers and guides / Alcalde of Chinam Andrés Pech / 3 men 2 women cooks fm Chinam"	Cacique of Holpatin Pedro Noh / Ma fm Holpatin / Cacique of Zaczuz Francisco Yam / Tipujan Capt Gaspar Chuc / Hubelna Capt Kuxeb									"MEXICO,369 [Bishop of Yuc to Crown, 5 mar 1643]
Cogolludo lib 11 cap 12—17"	Jones 1 p213		
E 53	53	O		19 May 1641	25 May 1641	Final Capture of Providence	Cartagena military expedition against Providence	"Cartagena, Prov"	"Sp King / Admiral Francisco Diaz de Pimienta / Jeronimo de Ojeda / Conde de Castimellor / 1 Gal 2 Urcas 6 Ships 3 Pataches / 2,000 men"	Gov of Prov Carter / Sergeant Major Hunt									"SANTA_FE,223 -- a 11 sep 1641
BL Add MS 36323 f 297
Mus Nav, Col Nav, v 25 [Carta é informaciòn enviada por D. Juan Bitrian de Briamonte, 29 jun 1640]
Sanchez, Rel, xxx
BL Thomason Tracts E. 141.10 [A letter [for N. Butter] from the Low Countries. 22 March, 1641/2]
Winthrop, v 2, p34"	"Kupperman p336 n49
Burns, Brit W Ind 2 ed p210
Newton 295-303"	"there were about 600 men capable of bearing arms [at Prov] /Newton 299

a Spaniard, who had long acted as pilot to the Prov ships and had lately fled from them to Jamaica, ... [guided] Pimienta and the Conde de Castimellor [in landing their men at Prov on 24 May 1641] /Newton 301

Some of the English [at Prov] ... managed to make their escape in shallops to Henrietta and the Main, but almost all the principal colonists had been captured /Newton 301

At Christopher's they [Mass. colonists, 30 men 5 women 8 children, in ships Salutation and Sparrow] heard that a great fleet of Sp ships was abroad, and that it was feared they had taken Providence, ... And coming to the Island, [Prov, they were shot at, Capt. William Peirce and Samuel Wakeman killed] ... After this, the passengers being ashamed to return, would have been set on shore at Cape Grace de Dios, or Florida, or Virginia, but the seamen would not, ... they [seamen] came all home the 3rd of September following [1641]. /via Newton 304 /Winthrop Journal II p34

Capt. Lane, Rev. Mr. Leverton [of Prov Co] cruised WI for some years after Final Capture /Newton 305"	
E 54	54		xxx	1 October 1641	30 December 1641	Sacking of Trujillo	Dutch or GWC military sack Trujillo	Trujillo		4 Du companies									"Wright/van Dam, p81-100 [Manuel de Velasco to Ruy Fernández de Fuenmayor, 18 oct 1641; Diego Ruiz Maldonado to Fuenmayor, 22 oct 1641; Francisco Cornelio Briceño to Fuenmayor, 29 oct 1641; Juan Pacheco Maldonado to Fuenmayor, 31 oct 1641; Fuenmayor to Crown, 18 Dec 1641]"	Goslinga p279		
E 55	55	O		1 January 1642	30 December 1642	Capture of Roatan	Joint military expedition against Eng settlers at Roatan	Roatan	Francisco de Villalba y Toledo / 4 Vessels										xxx	Gibbs Brit Hon p25	"Joint = Gov of Cuba, Pres of San Domingo, Pres of Guatemala /via Haring 77

Not noted in Cardona, though forced removal of c 900 Amerindians from 4 Amerindian towns effected Jun 1642 /via Cardona 118, 88–9"	
E 56	56		Hos 13	1 March 1642	30 April 1642		"Diego el Mulato attempts to raid town or hamlet by Rio Ulua, but retreats, and sacks Puerto Caballos"	"Ulua, Puerto Caballos"	Gov of Sp Hon Melchor Alonso Tamayo	Diego el Mulato “Diaz Lucifer”									"GUATEMALA,39,R.20,N.131
GUATEMALA,39,R.20,N.132"	"Cardona Amaya p117, p87-8"	Diego el Mulato gone by Jun 42	
E 57	57		Hos 13	22 November 1642	22 November 1642	Diego Raids	Diego el Mulato raids at least two Maya hamlets and Bacalar	"Monkey, Sittee, Old, Bacalar"		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women fm Soite / impressed Ma men fm Soite / later kidnapped 3 Sp 2 Ma from Bacalar / released 13 Feb 1643	Bacalar residents forced into hiding by Lake Bacalar min to early 1643	Pir took 3 or 4 Sp boats	"Campin raided / stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"			"MEXICO,360,R.5,N.33
MEXICO,369 ff 529r—531v
Cogolludo 656—9"	"Molina Solis II p138
Jones 89 p226—7 n28—32
Barke 2012 p112 n382"	Campin location /via Jones 89 p225.	
E 58	58	O		13 December 1642	13 December 1642	“Río Balis” used	Earliest use of Río Balis for Haulover Creek by Bacalar vecinos carrying mail to [Santiago de?] Guatemala for Gov of Yuc	Old	"Vecinos of Bacalar inc Manuel Rodríguez, Sebastían Rodríguez"										"MEXICO,360 -- a 7 feb 1643 [inc Auto y relación, 13 dec 1642]"	Jones 889 p324 no 30	"Not realising this was a branch of Belize River /via Bulmer 147, citing use of Balis by Friar José Delgado in relación of entrada of 1677"	
E 59	59		Hos 13	20 July 1643	15 September 1643	Jackson Expedition	"William Jackson raids and holds Trujillo, after which his crew fall ill and retreat, sacking Sto Tomás de Castilla, after which Jackson retook Trujillo"	"London, Barbados, St. Kitts, Isla de Margarita, Caracas, Puerto Cabello, Maracaibo, Hispaniola, Spanish Town, Grand Cayman Island, Trujillo, Sto. Tomás de Castilla, Mosquito Islands, Cartagena, Cuba, Bay of Campeche, Florida Straits, Bermuda"	Gov of Sp Hon Melchor Alonso de Tamayo 41 Sp men 9 pardos y negros / Alguacil mayor y regidor of Olancho Francisco Díaz	"Capt. William Jackson 3 Ships 3 Pinnaces / Capt. William Rous / Capt. Samuel Axe / Capt. Cromwell / 1,200 men = 640 Bajans 500 St Kitts men"									"GUATEMALA,44A,N.40 ff 4r-53v
CSPC 1 Feb 1640 -- Feb. 25.
Harlow
Lon 43 xxx -- Certaine Inducements"	"Cardona Amaya p118, p90
Harlow xii-xix
Offen 11 p23"	"Capt. Jackson’s crew included men from Diego Diaz Lucifer’s crew

Capt. Jackson ships = Charles, Valetine, Dolphin, arrive at Barbados 27 Sep 1642

Expedition leg to Sp Hon pushed for “by ye specious persuasions of one Capt. Cromwell,” a NE pirate /via Jackson xvii"	
E 		O		14 April 1644	28 June 1644	Avila y Pacheco reductions	"Gov of Yuc orders a three-pronged reduction of rebelled Ma in W, NE, SE Yuc [SE Yuc inc Bacalar province]"	"Merida, W NE SE Yuc"	Gov of Yuc Enrique de Avila y Pacheco / Maestre de Campo Juan de Salazar with Franciscan Fray Martín Tejero / Capt Gaspar León de Salazar with Fray Bartolomé Becerril / Antonio Magaña de Solis = Antonio Orantes Solis with Fray Pedro de la Peña										"MEXICO,244 [Méritos y servicios de Antonio de Magaña y Solis, 1644] 
ESCRIBANIA,308A [Testimonio, 1644]
Cogolludo lib 12 cap 1"	Jones 1 p228	"Three parties of reduction = Salazar at Valladolid, Chancenote, Cozumel / León de Salazar at Campeche / Magaña de Solis at Ichmul and Bacalar province /via Jones 1

Results = W Yuc, 2442 reduced / SE Yuc inc Bacalar province, 1900 reduced / NE Yuc 5081 reduced / Total = 9,423 reduced /via Jones 1"	
E 60	60		Hos 13	1 June 1648	30 June 1648	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino 11 Sp 15 Ma men	Abraham Blauvelt / 1 barque 50 men [possibly]			women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid					Cogolludo 714—7	"Molina Solis II p176, p211—12"	"Possibly disposes of prizes at Rhode Island /via Newton 274 /Mass Hist Soc Coll, 4th series, VI, 272 -- Williams to Winthrop Jr 25 Oct 1649, 9 Nov 1649

Based in New Ams fm 1644 /via Newport 274 /O'Callaghan, Hist New Neth, I, 296 / New York Docs, I, 397-399"	
E 61	61		Hos 13	29 May 1652	29 May 1652	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino	Abraham Blauvelt / 1 barque 50 men [possibly]		Capt. Bartolomé Palomino killed / 1 Ma killed							Cogolludo 749—52	Barke 2012 p114 n390		
E 62	62		Hos 13	1 November 1652	30 November 1652		Buccaneers or privateers raid at least two Maya hamlets	New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"			"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40	"Uatibal, Chanlacan location /via Jones 89 xv—xvii, p283—5"	
E 63	63	O		10 January 1654	19 January 1654	Sp Siege of Fr Tortuga	San Domingo military expedition against Fr Tortuga	"San Domingo, Tortuga"	Gabriel Roxas de Valle-Figueroa / 5 Vessels / 400 infantry	Gov of Fr Tortuga Chevalier de Fontenay									"Add MS 13992 f 499
Terte, v 1, cap 6"	Haring 82	"According to a Spanish MS., there were in Tortuga in 1653 700 French inhabitants, more than 200 negroes, and 250 Indians with their wives and children. The negroes and Indians were all slaves; the former seized on the coasts of Havana and Cartagena, the latter brought over from Yucatan. /via Haring fn 116 /Add MS 13992

Fr under de Fontenay retire to Port Margot in 2 ships /via Haring 83"	
E 		O		23 October 1654	30 May 1656	Pérez entradas	"On two entradas, Capt. Pérez reduces recently rebelled towns of Chanlacan to its former location, and Uatibil, Holpachay, Holzuz to new locations, and thereafter, on three entradas, attempts to reduce Tipuj and its adjacent towns, but mostly fails"	"Pacha [Bacalar-in-Pacha], Chanlacan, Uatibil, Chunhuhub, Holpachay, Holzuz, Chunukum"	Gov [of Yuc?] Pedro Saenz Izquierdo / Capt. Francisco Pérez / 6 Sp 15 Ma / [later] 10 Sp 60 Ma										"Jones 3 cap 2
xxx [Méritos y servicios de Capitán Francisco Pérez, 1661]"	Jones 1 p230—40		
E 64	64		Hos 13	23 October 1654	23 October 1654		Buccaneers or privateers engage Sp during one of the Perez entradas	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma										"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40		
E 65	65	O		19 May 1655	27 May 1655	Invasion of Jamaica	Royal Navy expedition against San Domingo and Sp Jamaica	"Barbados, Nevis, St. Kitts, San Domingo, Jamaica"	Juan Ramírez de Arellano / Bernardino de Meneses / 2400 men in His / 1500 men in Jam	Oliver Cromwell / Adm. Willliam Penn / General Robert Venables / 8000 men									xxx	"Haring 85 = R. Venables, C. H. Firth, The narrative, London 1900"	"6 Royal Navy ships [of 12 left at Jam under Vice-Admiral William Goodson] were [24 Jul 1655] at sea picking up a few scattered Spanish prizes which helped to pay for the victuals supplied out of New England /via Haring /Addenda 218, 230, 231 CSPC 9"	
E 66	66	O		1 December 1655	30 January 1656	Eng resettle Tortuga	"Elias Watts from Jam resettles Tortuga, under or shortly thereafter receiving commission from Gov of Jam"	"Jamaica, Tortuga"		Elias Watts + family / Gov of Jam William Brayne / James Arundell / 10 t 12 people									"Terte v 3 p126
BL Add MS 13992 f499
Bod Lib MSS Rawl A. 29 f500"	Haring 113	"in a short time [Watts] gathered about him a colony [at Tortuga] of about 150, both English and French /via Haring 114"	
E 67	67	O		1 January 1658	28 February 1663	Logging	Buccaneers and Jamaicans start logging logwood	"Old, New, Hondo, Terminos, Cape Catoche, Bay of Ascension, Bay of Espíritu Santo"										Read's Weekly Journal or British Gazetteer 375 p3	"MEXICO,80,R.1,N.15
MEXICO—Carta de Fernando Francisco de Escobedo, gobernador de Yucatan y Guatemala, al Rey a 14 Abril 1671
MEXICO,1007 -- a 23 oct 1663, a 21 dec 1663, a 6 oct 1664
MEXICO,3102
GUATEMALA,24
BL Add. MS 11410 ff 10 -- An Account ... in 1663
CO 1/25 f 5, 123, 225
Westminster 11913 -- Modyford to Sir A. King, 27 Dec 1667
CO 140/1 f 6 -- 18 Jun 1661
CO 138/1 ff 107-112
CO 1/28 f 9, 122
CO 1/27 f 11
Somerset DD/WHh/1089-1090
BL Add MS 36785"	"Seville 1944 p42 n37 = Merida 1904 II p249—50
Seville 1944 p45 n40 = Merida 1904 II p265—7
Zahedieh 1 p215-216"	"Date possibly later ? / check logwood lift of ban / first Log to Jamaica possibly after Feb 1663 raid of Campeche by Sir C. Myngs /via Bialuschewski p57 n28

cf Fancourt, preface

Given as 1658 /via Gerhard 50-53 = Dampier 1697–1709, vol 2, pp 45-47 /MEXICO,3102 /GUATEMALA,24, though ff for AGI items not given /Rubio Mañé, 1955–1959, vol 2, p101 /Scholes and Roys 1948 p351 /West et al 1969, p119–121

Extract of a Letter from Campeche in the Province of Yucatan, dated Nov. 24. [1731] As to the State of the Bay of Honduras, I shall give it you as briefly as possible. The ancient City of Bacalar, situate in that Part of the Province of Yucatan, which lies on the Bay of Honduras, was twice sack'd, and at last totally ruined by the English many Years ago; on which the Logwood-Cutters of that Nation, who had settled on the River of Valis, possessed themselves of the New River and that of Hondo; which last is distance from the Ruins of Bacalar about five Leagues. Here they built a great many Houses and Hutts, and employ'd Multitudes of Negroes in cutting Logwood, which was transported to Jamaica and Europe by Numbers of Vessels trading from thence to the Bay ... /RWJBG 375

Though see, ""1667 ... En dicho año el Ynglés Villis con su tropa de Piratas, se apoderó de la Ysla de la Tortuga para tener adonde retirarse con sus robos ..."" /via Calderon p60 no 47 /Biblioteca Real, Miscelánea Ayala, 348 (I), 2890, T. LXXII, f 26v

Del tiempo inmemorial, porque no he encontrado sujeto que se acuerde de lo contrario, ha habido ingleses en el Río de Valis, Zacatán o las Cocinas, que es todo uno, a donde vinieron y se rancharon, para cortar el palo de tinta, sin haber tenido ahora ni en otro tiempo población formal, sino que como siempre se les ha procurado impedir esta comercio, se han mantenido allí con sobresalto, y con recelos de ser hostilizados … /via Calderon 64 no 79 /MEXICO,1017 -- a 14 may 1725"	
E 68	68	O		25 May 1658	25 May 1658	Guatemala granted S Hon	"Martín Carlos de Mencos appointed Gov of Guatemala, and ordered to protect southern half of Hon, thereby transferring jurisdiction of this territory from Yuc to Guatemala"	"Madrid, Santiago de Guatemala"	Martín Carlos de Mencos										"CONTRATACION,5431,N.5,R.80
GUATEMALA,20,R.3,N.15"	"L. C. Marcus, English influence [Thesis 1990] p105"	Real Cedula en Md. a 5 de abril de 1658 / Arrives at Santiago de Guatemala on 6 Jan 1659	
E 69	69		Hos 13	1 January 1659	30 December 1659		Buccaneers or privateers capture unknown number of Ma for sale in Jamaica	Pacha	Gov of Yuc Francisco Bazán				xxx Ma						"MEXICO,1006 -- a 9 feb 1660"	Jones 89 p334 no 10	"Pacha = c 20 km NW of prsent-day Noh-Bec, Quintana Roo, Mexico /via Jones 89 xvi"	
E 71	71	O		1 January 1660	30 December 1660	Fr retake Tortuga	"Fr Gov of Tortuga, at first under commission of Gov of Jam, issues letters of marque to privateers, thereby falling afoul of Jam, after which he takes Tortuga for France, despite an attempt by Jam and Arundell to keep Tortuga under Eng"	Tortgua		Fr Gov of Tortuga Jérémie Deschamps / Fr Deputy Gov Sieur de la Place	Gov of Jam Col. Doyley / James Arundell / Shipmaster Barth. Cock								"Bod Lib MSS Rawl A. 347 ff 31, 36
CSP Spain vol 47 [Deposition of Sir C. Lyttleton]
Terte v 3 p135–8"	Haring 116	Tortuga ceded to Fr WIC by Fr Gov of Tortuga in Nov 1664 /via Haring /Dutertre	
E 70	70		Hos 13	1 January 1660	31 December 1669	Sacking of Pacha	Baymen sack Bacalar-in-Pachá	Pacha											"AGS, Estado, 7607
MEXICO,1006 [Gov to Crown a 9 feb 1660]"	"Gerhard 70
Jones 1 p334 no 10"	"AGS = Archivo General de Simancas

British capture around Bacalar (then at Pacha) ... Indians as slaves to be taken to Jamaica [1659 or 1660] /via Jones 1 /MEXICO,1006

Bacalar-at-Pacha moved further to Chunhuhub not long afterwards /via Gerhard 70 /AGS item"	
E 72	72	O		8 May 1660	8 May 1660	King Charles II	Charles II proclaimed King of Eng	London											"CSP Spain vol 44 f 318 [King to L. de Haro, 2 Jun 1660]
17, 61, 355, 364 CSPC 5
BL Add MS 11410 f6-16"	Haring 100	"Charles wrote a note to Don Luis de Haro on 2nd June 1660, proposing an armistice in Europe and America which was to lead to a permanent peace and a re-establishment of commercial relations between the two kingdoms. /via Haring 100 /CSP Spain 44
Eng armistice w Spain published in Jamaica 5 Feb 1662, though Council of Jam of opinion that armistice applied only to Europe /via Haring 100, 104 /CSPC 5
"	
E 73	73	O		7 January 1662	3 May 1662	Logwood legalised	Eng Parliament lifts ban on logwood imports	London											"14 Car II c. 11 [Statutes of the Realm 5 p393-400]
CSPD Car II vol 54 no 12"		"Logwood called various names before this, probably including “peach wood,” “Indian wood,” “brazil wood” [in all its varieties], “bloch wood,” and even “fustic” /McJunkin 97 /E. Bancroft, Experimental Researches, London 1813 II p340 /P. V. McGrath, Merchants and Merchandise in Seventeenth, Bristol 1955 p284, 296 /JRSA, ""Historic logwood,"" J of Royal Soc of Arts 1917 p64 /R. C. Wren, R. W. Wren, Potter's New Cyclopaedia, 1973 p190"	
E 74	74	O		11 December 1662	11 December 1662	Jam–Sp Hon trade	"Council of Jam resolves to attempt trade with Sp at Cuba, Sp Hon, Campeachy"	Spanish Town											390 CSPC 5	Burdon 1 p49	"Minutes of the Council of Jamaica ... Dec. 11. ... The trade with the King of Spain's subjects to be prosecuted by force, and an attempt made to leeward, on the coasts of Cuba, Honduras, and the bay of Campeachy /CSPC 5"	
E 75	75	O		9 January 1663	13 April 1663	Myngs Expedition	"Jamaica military campaign against Sp Yucatan, likely with buccaneers or privateers"	"Port Royal, Campeche"		Sir Christopher Myngs / Capt. Thomas Morgan / 12 to 14 Ships / 1500 t 1600 men									"BL Add MS 12430
BL Add MS 13964 f16
CSP Spain vol 46 [Fanshaw to Sec Bennet, 13-23 Jul 1664]
CSP Spain vol 45 [4 May 1663]"	"Haring 107
Oxford DNB"	"Myngs and his fleet sailed away [fm Campeche] on 23rd February, but the ""Centurion"" did not reach Port Royal until 13th April, and the rest of the fleet followed a few days later. /via Haring 108

According to the Spanish relation there were fourteen vessels in the English fleet, one large ship of forty-four guns (the ""Centurion""?) and thirteen smaller ones. The discrepancy in the numbers of the fleet may be explained by the probability that other Jamaican privateering vessels joined it after its departure from Port Royal. /Haring fn 176"	
E 76	76	O		28 April 1663	28 April 1663	Jam privateering disallowed	"King asks Gov of Jam to not encourage privateering or buccaneering against Sp by soldiers or inhabitants of Jam, though existing commissions are not ordered recalled"	"London, Spanish Town"		King Charles II / Gov of Jam Sir Charles Lyttleton									"441–3 CSPC 5
Bod Lib MSS Rawl A. 347 f 62
CSP Spain vol 46 f280, 311"	Haring 110	"he [King] has thought fit hereby to command him [Gov of Jam] to give no encouragement to such undertakings [privateering against Sp] unless they may be performed by the frigates or men-of-war attending that place [Jam] without any addition from the soldiers or inhabitants /via Haring 110 /CSPC 5

[early 1664] Jam disallows public enlistment of men for trips against Sp /via Haring 110 /MSS Rawl"	
