Table 1
Date	Link	Headling	
2 Sep 73	Press 1600	"Extract of a Letter from the Bay of Honduras, to a Gentleman in This City, July 1."	
2 Sep 73	Press 1600	"Extract of a Letter from the Bay of Honduras, June 19."	
2 Sep 73	Press 20	"Extract of a Letter from the Bay of Honduras, to a Gentleman in Philadelphia, Dated July 1, 1773."	
6 Sep 73	Press 838	"New-York, September 2."	
6 Sep 73	Press 1980	"Extract of a Letter from the Bay of Honduras, June 19."	
4 Nov 73	Press 29	"Extract of a Letter from St. George's Key, Dated Honduras Bay, August 29, 1773."	
11 Nov 73	Press 1610	"Extract of a Letter from St. George's Key, Dated, Honduras Bay, August 29, 1773."	
15 Nov 73	Press 1990	"Extract of a Letter from St. George's Key. Dated Honduras Bay, August 29, 1773."	
18 Nov 73	Press 146	"Tuesday, November 16. Extract of a Letter from St. George's Key, Dated Honduras Bay."	
30 Nov 73	Bur 730	London.	
3 Mar 74	Press 1626	"Extract of a Letter from St. George's Key, Honduras, September 6."	
7 Apr 74	Press 1631	"Newport, March 21."	
10 Oct 74	Press 1200	[Intelligence; Boston; Days; General Gage; Majesty's; Magazine; Quantity; Military Stores].	
9 Mar 75	Press 214	From the New-York Journal. March 2.	
13 Mar 75	Press 2059	"New-York, March 6."	
17 Apr 75	Press 1227	"Extract of a Letter from Boston, Dated April 5."	
8 Jul 76	Press 1291	"Copy of a Letter from Lieutenant-Colonel Campbell to General Howe. Boston, June 19, 1776."	
22 Nov 77	Press 144	"Extract of a Letter from Honduras, Dated Oct. 6."	
11 Jun 78	Press 512	"Intelligence Just Received from Charlestown, South-Carolina, April 21, 1778."	
17 Dec 81	Press 1574	"Kingston, (Jamaica) Sept. 1."	
21 Oct 82	Press 21	"Boston, October 10."	
3 Sep 84	Press 241	"Tuesday Arrived Here the Brig Port Roseway, Capt Shannon, in Thirty Five Days from Jamaica."	
18 Oct 84	Press 429	"Extract of a Letter from Kingston, Jamaica, Dated August 7."	
22 Nov 84	Press 439	"Kingston, (Jamaica) Sept. 24."	
22 Nov 84	Press 439	"Kingston, (Jamaica) Sept. 24."	
6 Dec 84	Press 164	"New-York, Nov. 29."	
5 Feb 85	Bur 4412	"Kingston, Nov 25."	
21 Mar 85	Press 473	Extract of a Letter from Kingston (Jamaica) Dated Dec. 4.	
24 Mar 85	Press 2003	"Extract of a Letter from Kingston, (Jamaica) Dec. 4."	
24 Mar 85	Press 2003	"Extract of a Letter from Kingston, (Jamaica) Dec. 1."	
9 Jan 86	Press 557	"Kingston, (Jamaica) Oct. 1."	
12 Jan 86	Press 2045	"American Occurrences. Kingston, (Jamaica) November 16."	
9 Mar 86	Press 574	"Kingston, Jamaica, Jan. 14."	
9 Aug 86	Press 281	"Kingston, (Jamaica) July 8."	
10 Aug 86	Press 2075	"American Occurrences. Kingston, (Jamaica) July 8."	
27 Sep 86	Press 295	Extract of a Letter from the Bay of Honduras.	
21 Nov 86	Press 647	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4."	
22 Nov 86	Press 311	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4."	
30 Nov 86	Press 2091	"Extract of a Letter from Jamaica, Dated October 16."	
5 Dec 86	Press 651	"Extract of a Letter from Jamaica, Dated Oct. 16."	
2 Jan 87	Press 292	"New-York, December 14."	
6 Jan 87	Press 324	"Boston, December 28."	
19 Jun 87	Press 340	"Charleston, (South Carolina) May 29."	
3 Jul 87	Press 1028	"Montego Bay, (Jamaica) May 26."	
7 Jul 87	Press 739	"Kingston, Jamaica, May 26."	
25 Jul 87	Bur 5680	Jamaica News.	
7 Aug 87	Press 721	"Kingston, (Jamaica) June 13."	
7 Aug 87	Press 721	"Kingston, (Jamaica) June 13."	
7 Aug 87	Press 765	Extract of a Letter from Cape Gratia a Deos (Honduras).	
10 Oct 87	Press 820	"Kingston, (Jamaica) Aug. 25."	
10 Oct 87	Press 1113	"Kingston, (Jamaica) Sept. 1 - 8."	
10 Jan 88	Press 899	"Extract of a Letter from the Bay of Honduras, Dated September 29, 1787."	
11 Jan 88	Press 766	"Extract of a Letter from the Bay of Honduras, Dated September 29, 1787."	
14 Jan 88	Press 902	"Particulars of a Most Violent Hurricane, Which Happened in the Bay of Honduras."	
16 Jan 88	Press 431	"Particulars of a Mast Violent Hurricane, Which Happened in the Bay of Honduras, on the 2d Day of September Last."	
21 Jan 88	Press 328	"Extract of a Letter from the Bey of Honduras, Dated September 29 1787."	
6 Feb 88	Press 1215	[Honduras; Georgia; Rogers].	
10 Jun 88	Press 1030	"Kingston, (Jamaica) April 19."	
21 Jul 89	Press 207	[Ship Henry; Honduras; Homeward; Lighted; Wrecking; Vessels; Florida; Lately].	
10 Aug 89	Press 1395	[Nancy; Sillock; Honduras; Marcia; Van Zandt; St. Croix].	
18 Sep 89	Press 227	Kingston (Jamaica) July 25.	
19 Sep 89	Press XLVI	"Intelligence by the Last Mail. Kingston, (Jamaica) July 25."	
26 May 90	Press 1643	[New-Providence; Spaniards; British; Honduras].	
11 Nov 90	Press 586	Kingston (Jamaica) Sept. 11.	
6 Jan 91	Press 1835	"Jamaica, December 2."	
18 Nov 93	Press XXVI	[Saturday; French Citizen; Bourdeaux; Canada; London; Honduras; Logwood].	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001377136/GDCS?u=camb55135&sid=GDCS&xid=bb8b61c7
25 Nov 93	Press 2043	"New-York, November 18."	
29 Nov 93	Press 10	"New-York, Nov. 20."	
13 Mar 94	Bur 7135	"Kingston, Dec. 28."	
24 Jul 94	Press 43	"South-Carolina. Charleston, June 24."	
15 Oct 94	Press 1813	From the Jamaica Gazette of August 30.	
14 May 96	Press 203	[Captain Anderson; Illinois; Gonaives; British; William; Mary; Taylor; Halifax; Jamaica].	
5 Apr 97	Press 3793	"Jamaica, February 25."	
5 Apr 97	Press 1595	"Extracted from Jamaica Papers Received by the Regulator, Arrived in 27 Days."	
6 May 97	Press 36	[London; United States; Liverpool Dubin; Cork; B ay; Honduras; Windward; Leward].	
12 Aug 97	Press 1120	"A Letter from the Bay of Honduras Dated March 2, 1797, Says."	
16 Aug 97	Press 330	[Bay; Honduras; March; Belize].	
1 Sep 97	Press 1733	"Received by the Brig Vigilant, Capt. Cables, Arrived Here Yesterday from Falmouth (Jamaica) June 21."	
2 Sep 97	Press 335	"Received by the Brig Vigilant, Captain Cobles, Arrivel Here Yesterday from Falmouth. Jamaica. June 21."	
5 Sep 97	Press 19	"Received by the Brig Vigilant, Captain Cables, Arrived Here Yesterday from Falmouth. Jamaica, June 21."	
7 Oct 97	Press 2	[Elizabeth; Capt. Edes; Honduras; Charleston; English].	
27 Nov 97	Press 32	[Irish; American; Sisters; Rhode Island; Bristol; Bantry; August].	
15 Dec 97	Press 65	"From Jamaica Papers Received Last Evening. Kingston, (Jam.) October 13."	
16 Dec 97	Press 24	"From Jamaica Papers Received Last Evening, Kingston, (Jam.) October 13."	
7 Feb 98	Press 111	"From a Jamaica Paper of Jan. 13. Kingston, (Jam.) Jan. 6."	
17 Mar 98	Press 22	[Jamaica; Honduras; Irish; St. Domingo; Capt. Murphy; Bay; Charils; St. Vincents; Grenda].	
17 Mar 98	Press 22	[Jamaica; Irish; St. Domingo; Capt. Murphy; ;Bay; Hondras; St. Vincents; Grenada; Ratan; English].	
17 Mar 98	Press 22	[Jamaica; Honduras; Irish; St. Domingo; Capt. Murphy; Bay; Charils; St. Vincents; Grenda].	
23 Mar 98	Press 24	"New-York, March 14."	
25 Apr 98	Press 4123	"From Late Jamaica Papers, Falmouth, Feb. 28."	
7 May 98	Press 2954	[Honduras; Charibs; Island; Ratton; English; Island; Majesty's; Merlin].	
14 Aug 98	Press 13	"New York, Aug. 6."	
14 Dec 98	Press 4322	"Falmouth, (Jam.) Oct. 10. Extract of a Letter from Honduras."	
24 Dec 98	Press 727	"Jamaica. Falmouth, October 20."	
24 Dec 98	Press 727	"Extract of a Letter from Honduras, Dated August 18."	
31 Dec 98	Press 4335	[Capt. Edwards; Happy Return; Black River; Saturday; Honduras; Lord Balcarres; Thursday; Spaniards].	
1 Jan 99	Press 4056	[Spanish; Bay; Honduras; Gen. O Neil; Yuta; English].	
16 Jan 99	Press 2024	"Extract of a Letter from the Bay of Honduras per the Ship Columbia, under Date 9th October '98, Which May be Relied on as Authentic."	
8 May 99	Press 124	[Capt. W. Odlie; Honduras; George; New-Orleans; Martin; Captain George; Washington].	
13 May 99	Press 1893	[Capt. W. Odlin; Rambler; Honduras; George; New Orleans; Murtin's Reef; Cape Sable].	
29 May 99	Press 1289	"Extract of a Letter from a Gentleman of Responsibility, Residing at the Bay of Honduras."	
4 Jun 99	Press 45	[New-York; Bay; Hondoras; Manufactured; Goods; Captain; Baltimore; Francois; Camilla].	
6 Jun 99	Press 1900	"New-York, May 29."	
8 Jun 99	Press 28	"Recent Omissions. New-York, May 29."	
9 Aug 99	Press 2199	[Fair American; Isaac Andrews; Jamaica; Kingston; Captain Kennedy; Portsmouth].	
16 Aug 99	Press 4269	[Honduras; Eliza Brown; Jamaica; Grimes; St. Thomas].	
16 Aug 99	Press 4269	[Honduras; Eliza Brown; Jamaica; Grimes; St. Thomas].	
28 Aug 99	Press 2214	[Arrived; Monday; Fair American; Crea; Honduras Bay; Niagara; Brooklyn; August; Havanna].	
12 Oct 99	Press 2253	[Lark; Captain Gilberts; Honduras; Bay; James; New-York; Philadelphia; Harmony].	
29 Mar 00	Press 2392	[Luinda; New-Bedford; Jamaica; Commodore; Truxton; Port-Royal; Capt. Murray].	
8 Apr 00	Press 4728	"From Jamaica Papers. Kingston, Feb. 15."	
30 May 00	Press 825	"Extract of a Letter from Capt. Charles Henderson of the Brig Sally, of New-York, to Hsi Owner, Dated Bay of Honduras, April 15, 1800."	
9 Jun 00	Press 78	[Philadelphia; Gazette; Lord Grenville; Mr. King; British; Honduras; British; Japan].	
11 Jun 00	Press 25	[Philadelphia; Gazette; Grenville; Mr. King; British; Honduras; Porcupine].	
11 Jun 00	Press 73	[Department; State; Bay; Honduras; British; Spain; Settlements].	
17 Jun 00	Press 85	[Paramarabo; Masterton; Bay; Honduras; Mathogany; Logwood; Wm. Whitlock; May].	
18 Jun 00	Press 285	[Paramarabo; Masterton; Bay; Honduras; Mahogany; Logwood; William Whitlock; May; Thundere].	
7 Jan 01	Press 84	[American; Nassau; December; English; Admiral Parker; Honduras].	
11 Aug 01	Press 2813	[English; Patriot; John Salmer; Honduras; London; Charleston; Wednesday].	
21 Nov 01	Press 6	[Capt. Wood; Eliza; Betsey; Cooper; New-York; Honduras].	
21 Jan 02	Press 1332	From the Bay of Honduras.	
22 Jan 02	Press 5272	From the Bay of Honduras.	
22 Jan 02	Press 2953	[Capt. Tryon; Bay; Honduras; American].	
23 Jan 02	Press 15	[Capt. Tryon; Bay; Honduras; American; Immediately].	
28 Jan 02	Press 43	From the Bay of Honduras.	
29 Jan 02	Press 1339	[Capt. Rowland; Bay of Honduras; American; Charleston; Pupelworth].	
30 Jan 02	Press 2960	[Capt. Rouland; Bay; Honduras; American; Taxa; Americans].	
30 Jan 02	Press 44	[Honduras; American Vessels; Antigua; British West-Indies; Parliament; July].	
30 Jan 02	Press 244	From the Bay of Honduras.	
26 Feb 02	Press 88	[Dove; Daniel Hubbard; Bay; Honduras; Gulf-Stream].	
19 Mar 02	Press 5062	"Extract of a Letter from the Bay of Honduras, Dated 19th Feb."	
11 Sep 02	Press 3142	Bay of Honduras.	
6 Dec 02	Press 5293	"Extract of a Letter Form the Bay of Honduras, Dated Sept. 14, 1802."	
14 Dec 02	Press 3222	"Extract of a Letter from the Bay of Honduras Dated Sept. 14, 1802."	
4 Feb 03	Press 1654	[Admiral Berkely; House; Commons; Nov; His Majesty's Ministers; Government; Spain; Bay Honduras; Campeche].	
11 Mar 03	Press 1166	[Friday; Saturday; Holland; Honduras; Buonaparte; London; French].	
18 Mar 03	Press 1688	[Brig William; Bay; Honduras; Governor; Col. Barrow; England; Capt. Howland].	
19 Mar 03	Press 588	[William; Honduras; Governor; Col. Barrow; Howland; Spaniards; English].	
26 Mar 03	Press 8	[New-York; Bay; Honduras; Governor; Co. Barrow; England; London; Spaniards].	
27 Mar 03	Press 939	"Honduras, Sept. 23."	
25 Oct 03	Press 329	"Extract of a Letter from Honduras, Dated July 26."	
27 Oct 03	Press 97	"Extract of a Letter from Honduras, Dated July 26."	
2 Dec 03	Press 1144	[British; Boston; Betsey; Honduras; Hampton Roads].	
3 Dec 03	Press 414	[British; Boston; Betsey; Bay; Honduras; Hampton Roads].	
13 Dec 03	Press 47	"South-Carolina. Charleston, Nov. 17."	
27 Dec 03	Press 656	[Milford; Ross; Honduras; New-York; Trinidad; Charleston].	
13 Mar 04	Press 722	[Charleston; Honduras; Proclamation; Americans].	
14 Mar 04	Press 450	[Capt. Robertson; Charleston; Honduras; American; Governor].	
14 Mar 04	Press 230	[Charleston; Honduras; Americans].	
4 Aug 04	Press 31	[French; British; Guadaloupe; Young Nicholas; Bay; Honduras; London].	
4 Aug 04	Press 31	[French; British; Guadaloupe; English; Young Nicholas; Honduras; London].	
6 Aug 04	Press sn	[Ambert; Capt. Charles Lemargue; Loverpool; Savannah; Honduras; London].	
18 Aug 04	Press 2924	[Ship Hibbert; Bay; Honduras; Thursday; Leander; New-York; Havanna].	
18 Aug 04	Press 5583	[Hibbert; Bay; Thursday; Leander; English; Honduras; New-York].	
24 Aug 04	Press 116	[Hibbert; Bay; Honduras; Thursday; Leander; English; Honduras; New York].	
24 Aug 04	Press 116	[Hibbert; Bay; Honduras; Thursday; Leander; English; Honduras; New York].	
1 Sep 04	Press 2936	[Philadelphia; Honduras; Charleston; Ready; Kingston; Jamaica; Coogee; Norfolk; Capt. Wallace].	
3 Sep 04	Press 5597	[Betsey; Wallace; Honduras; Charleston; Hercules; Ready of Jersey; Kingston; D Finley; Jamaica; Southern Long Key; June].	
3 Sep 04	Press 868	[Capt. Barnes; Baltimore; Cape-Antonia; Honduras; Cape-Florid; Matacomb; Keys].	
5 Sep 04	Press 280	[Capt. Barnes; Aquin; Baltimore; Cape-Antonia; Honduras; Matacomb].	
7 Sep 04	Press 120	"Philadelphia, Aug. 31. from Honduras, via, Charleston."	
8 Sep 04	Press 4	Honduras.	
12 Oct 04	Press 902	[Little Sarah; Honduras; Charleston].	
27 Oct 04	Press 366	[Schooner Clarissa; Eliza; Capt. Ryder; Montego Bay; St. Mary; S. E.; Susan; Foster; Bay; Honduras].	
3 Dec 04	Press 5714	[Favorite; Jamaica; Cape Antonio; French; Jupiter; Rowland; Bay; Honduras; New-York; Captain Rowlland].	
25 Feb 05	Press 3084	"Extract of a Letter from a Gentleman at Honduras-Bay, Dated Dec. 25, to His Correspondent in This City."	
25 Mar 05	Press 58	[Merchant; Messrs. William I. Rysam; Moses Clark; Bay; Honduras; Crew].	
17 Apr 05	Press 3955	[Captain Morison; Philadelphia; Charlotte; Honduras; Gibraltar; French; Spaniards; April].	
17 Apr 05	Press 783	[Charlotte; Bay; Honduras; April; Imperial; French; Lieutenant; France].	
16 May 05	Press 804	[Captain Perkins; Boston; George; Reed; Norfolk; Bay; Honduras; Boston; Havanna; British].	
21 May 05	Press 5853	[Captain Leight; Philadelphia; Honduras; Peace; Plenty; English; Frigate; Mahogany; Governor's Proclamation].	
4 Jun 05	Press 23	[George; Honduras; Havanna; French; April; Eugene; New-Orleans; Captain Read].	
10 Jun 05	Press 5870	[Merchant; Captain Clark; Honduras; Col. Gordon].	
11 Jun 05	Press 3175	[Stranger; Laguira; Factor; Greenock; Hudson; Liverpool; Horatio; Bay; honduras; Gun-Boat].	
12 Jun 05	Press 799	[Hudson; Liverpool; Honduras; Gun-Boat].	
12 Jun 05	Press 799	[Capt. Clark; Merchant; Honduras; Col. Gordon; American; Bottoms; Mahegany].	
7 Sep 05	Press 824	[Philadelphia Correspondent; Arrived; Venus; King; Amsterdam; Cyrus; Daggett].	
7 Sep 05	Press 824	[Philadelphia Correspondent; Arrived; Venus; King; Amsterdam; Cyrus; Daggett].	
26 Nov 05	Press 4148	"Extract of a Letter from Honduras, Dated September 10th 1805."	
2 Dec 05	Press 957	"Extract of a Letter from Honduras, Dated September 10, 1805."	
9 Dec 05	Press 30	[Honduras; Belize].	
14 Dec 05	Press 4164	[Honduras; Belize; U. S.].	
10 Feb 06	Press 47	[Captain Wood; Bay; Honduras; American; Vessels; Mahogany; Jamaica].	
4 Oct 06	Press 2351	From Honduras.	
7 Oct 06	Press 80	From Honduras.	
7 Oct 06	Press 80	From Honduras.	
9 Oct 06	Press 4416	[Capt. Godfrey; Boston; Bay; Honduras; Spaniards; Bacalar; Campeachy].	
9 Oct 06	Press 1196	[Honduras; Cap Godfery; Boston; Honduras; August; Bacalar; Compeachy; English].	
9 Oct 06	Press 6418	From Honduras.	
9 Oct 06	Press 6418	From Honduras.	
9 Oct 06	Press 12	From Honduras.	
27 Dec 06	Press 2375	From Honduras-Late.	
9 Jul 07	Press 37	"An Extract of a Letter from Honduras, Dated 25th May 1807, Says."	
10 Jul 07	Press 55	"Commercial. an Extract of a Letter from Honduras, Dated 23th May, 1807."	
14 Jul 07	Press 4	"Extract of a Letter from Honduras, May 25."	
15 Jul 07	Press 3780	"An Extract of a Letter From Honduras, Dated 25th May 1807 Says."	
16 Jul 07	Press 165	"Extract of a Letter from Honduras, Dated May 25."	
16 Jul 07	Press 270	[Honduras; May; Governor; Jamaica; Magistrates; Majesty's Superintendent; Salted Beef; Pork; Settlement].	
24 Aug 12	Press 7676	[Honduras; Wilmington; N. C; War].	
10 Nov 12	Press 9583	[British; Bay; Honduras; Jamaien; Charleston; Baltimore].	
23 Jan 13	Press 7	[Plymouth; Frolic; American; Essex; Frolic; Whinyates; Honduras; Florida].	
2 Mar 13	Press 135	[Mathew Folger; New York; Port Antonio; New York; Honduras].	
2 Mar 13	Press 165	[Cumberland; Sybelle; Indian; Warren; England; Ship Hawker; Honduras].	
4 Jun 13	Press 45	"By Mail. South-Carolina. Charleston, May 21."	
30 Nov 16	Press 7	[Boston; October; Bay; Honduras; American].	
30 Nov 16	Press 7	[Boston; October; Bay; Honduras; American].	
17 Jan 17	Press 5	[N. Orleans; Favorite; Havre; Balize; South Carolina; Hutchinson; Bordeaux; Brig. Fawn; Savannah; Cleared; Charleston].	
15 Mar 17	Press 11001	[Boy; Bay; Honduras].	
15 Mar 17	Press 11001	[Boy; Bay; Honduras; Mechanic].	
25 Sep 18	Press 25	[Commodore; Aury; Amelia; Old; Providence; St. Catharine's; Island; Honduras].	
9 Oct 18	Press 8563	[French; St. Joseph; Bayonne; Maldonado; Rio Janeiro; Havana; Island Os Santa Catharine; Gulf of Honduras].	
2 Apr 19	Press 2770	[Honduras Norfolk; Herald; March; Mitchell].	
2 Apr 19	Press 8712	"A Letter from the Bay of Honduras, Says the Norfolk Herald of March 29."	
5 Apr 19	Press 568	[Honduras; Norfolk; Herald; March; October; Mitchel].	
7 Apr 19	Press 3960	[Bay; Honduras; Norfolk; Herald; March; October; Mitchel].	
8 May 19	Press 32	"New-York, May 5. Murderous Transaction."	
8 May 19	Press 37	"New-York, May 5."	
27 May 19	Press 5287	From the Newport-Mercury of May 22.	
1 Jun 19	Press 23	[Sailed; United States; Enterprize; Kearny; Omoa; Honduras; Spanish Maine; Retrieve].	
2 Jun 19	Press 3976	[Enterprize; Lieutenant; Kerney; New-York; Saturday; Ev. Post; Omos; Bay; Honduras].	
2 Jun 19	Press 3976	[Enterprize; Lieutenant; Kerney; New-York; Saturday; Ev. Post; Omos; Bay; Honduras].	
8 Jun 19	Press 73	[United States; Enterprize; Lieut. Kearney; New-York; Honduras; Spanish; Retrieve].	
7 Jul 19	Press 2848	[Com. Aury; Providence; Bay of Honduras; Gulf of Darien; May].	
28 Jul 19	Press 2866	[Yesterday; Enterprize; Capt. Kearney; Retrieve; Spaniards; Oman; Honduras].	
30 Jul 19	Press XXII	[Enterprize; Kearney; Omoa; Honduras; Retrieve; Relrieve; Vera Cruz; Honduras; Com Aury].	
7 Dec 19	Press 2978	[Jamaica; Oct; Col. Gordon; Aury; honduras].	
16 Dec 19	Press 1	[Jamaica; Col. Gordon; Honduras; Musquito Indians; Lord Cochrane; British].	
11 Jan 20	Press 2915	[Commodore Aury; Old Providence; New-Orleans; Spanish; Bay; Honduras; Congress; Mars].	
11 Jan 20	Press 852	[Commodore Aury; Old Providence; New Orleans; Spanish; Honduras; Bellona; Empress; Le Guerriere; Diana].	
14 Jan 20	Press 37	[Commodore Aury; Providence; New Orleans; Spanish; Honduras; Congress; Mars; Bellona; Isabella; Empress].	
14 Jan 20	Press 4	[Commodore; Aury; Providence; Privateers; New Orleans; Spanish; Honduras; Bellona].	
15 Jan 20	Press 141	[Commodore; Aney; Old Providence; New Orleans; Spanish; Bay; Honduras; Congress; Mars].	
13 Oct 20	Press 3151	[Sch. Solon; Portland; Honduras; Bay; August].	
14 Oct 20	Press 9192	[August; Earthquake; Honduras; Spanish Maine; St. Padre; Omoa; Church].	
14 Oct 20	Press 2400	[August; Earthquake; Honduras; Omoa; Spanish Main; St. Padro; Church].	
14 Oct 20	Press 32	[Earthquake; Honduras; Omoa; Spanish Maine; River].	
17 Oct 20	Press XXIII	[August; Earthquake; Honduras; Omoa; Spanish; Maine].	
20 Oct 20	Press 46	[August; Honduras; Spanish Maine].	
25 Oct 20	Press 11	[August; Earthquake; Honduras; Spanish Maine; St. Padre].	
25 Oct 20	Press 11	[August; Earthquake; Honduras; Omon; Spanish Maine].	
4 Nov 20	Press 47	[August; Earthquake; Honduras; Omon; Spanish Maine; St. Padro; Omon; Church; River].	
