Table 1
						Event	Event	Near	Sp	Ally	Ally	Lives	Held	Moved	Craft	Property	Other
Nat 2	Dec 1784	Nov 1785	 	 	 	1 Dec 1784						epidemic distemper at New proved fatal to many					severest weather ever remember fm Dec 84 to Nov 85 … esp New
Crs 3	Feb 1785	0	Sp	 	Sp Panic	1 Feb 1785								"settlers in New, Hondo lost part of their Neg / evac to St. George’s, Belize"		left their stock in jeopardy / their habitations = inexpressible losses	were in want of bread Prov
Rev 3	Jun 1786	Jun 1786	 	 	Old R	1 Jun 1786						killed a number of people		slaves mustered = 70 or 80 by Nov 86			
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Jun 1787											"riots very frequent c Jun 87 / jealousy bw old, new settlers wrt lands"
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Aug 1787											Flour and some Prof very scarce and dear
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Aug 1787											settler much in want of shipping for their products
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Apr 1789											annulled and extinguished Magistracy so courts are shut up = anarchy and confusion
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Apr 1789											"such great quant of timber [Log, Mah likely] cut down fm Apr 87 to 89 / scarcely know what to do w it"
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Apr 1789										Sp commissary destroyed all cultivated spots [plantain walks]	
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	2 Jun 1789											8 ships arrived at Eng [Lon and Out ports?] all w Mah by 2 Jun 89 / there seldom was known to be > 3 or 4 ships in one yr
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Aug 1789											compromise reached
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Aug 1790											"Hunter orders Prov for c 2,000 inhabitants for 6 weeks"
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair	1 Apr 1791		Old	D. Rafael Llobet [Sp Commissioner]							Sp commissary destroyed all cultivated spots [plantain walks] / arrested all turtle fishers / [likely seized all turtles]	
Ill 4	Feb 1788	0	 	 	Measles ?	1 Feb 1788						"upwards of 50 white, much greater numb of Neg fm Sep 87 to Jan or Feb 88"					
Nat 3	Nov 1792	Oct 1792	 	 	 	1 Nov 1792						many Neg perished				nearly all stock destroyed / Mah loss = c 2 million ft	river [Old likely] rising > 70 ft / inhabitants quit houses / reside on flats sev days
Hos 11	Nov 1793	Nov 1793	 	Ma	 	1 Nov 1793						1 inhabitant shot / later 3 Maya killed					
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution	10 Sep 1798	Battle of St. George’s Caye	St. George’s	O’Neill							houses burnt by Baymen to preclude attack [source?]	
Ill 5	Sep 1797	0	 	 	Yellow Fever	29 Sep 1797						23 men die within weeks of arrival					
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic												
War 9	Jun 1812	Feb 1815	 	Am	 												
Rev 5	Apr 1820	0	 	 	Will & Sharper	24 Apr 1820		Old		considerable numb slaves well armed	Lt. McPherson 2nd WIR Mjr. Noel					[revolters] committed various depredations	
Rev 5	Apr 1820	0	 	 	Will & Sharper	26 Apr 1820	Parlay	Old		c 20 [remaining 16 May 20]	Lt. Col. Arthur						numb of revolters induced to peaceably return
