Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID			SIZE		ITEM				CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I			LINK	
S 213	213	0	A	Ogelsby					The British and Panama — 1742						1963		J. C. M. Ogelsby		Caribbean Studies	3	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756	
S 		0	A	Olien					The Miskito Kings and the Line of Succession						1983		M. Olien		Journal of Anthropological Research	39	xxx			xxx	
S 217	217	0	P	Oxford DNB			xxx		Dictionary of National Biography				xxx		xxx										
		0	P	Paetzold			1		"The british participation in the caste war of yucatan, 1847-1901"				xxx		1994		C. Paetzold							xxx	
S 221	221	0	A	Pendergast					Locating Maya Lowlands Spanish Colonial Towns: A Case Study from Belize						1993		"D. M. Pendergast, G. D. Jones, E. Graham"		Latin American Antiquity	4	1			xxx	
S 222	222	0	A	Peniche					"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"						1869		M. Peniche		Boletín de la Sociedad de Geografía y Estadística	13				https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en&gbpv=0&kptab=editions	
S 		0	P	Grainger			1		The British Navy in the Caribbean				Woodbridge	UK	2021		J. D. Grainger							https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1850j2f	
S 		0	P	Wilson			1		"Suppressing Piracy in the Early Eighteenth Century: Pirates, Merchants and British Imperial Authority in the Atlantic and Indian Oceans"				Woodbridge	UK	2021		D. Wilson							https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1850j4g	
S 		0	P	Rogers			1		"Blood Waters: War, Disease and Race in the Eighteenth-Century British Caribbean"				Woodbridge	UK	2021		N. Rogers							https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1q16rrn	
S 		0	A	Pitt					Building and Outfitting Ships in Colonial Boston						2015		S. J. J. Pitt		Early American Studies	13	4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/44630808	
S 		0	A	Kane					Mahogany: New Research on the Wood of Choice in Early Rhode Island Furniture						2019		P. E. Kane		Yale University Art Gallery Bulletin					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/26899730	
S 		0	P	Sell			1		Trouble of the World: Slavery and Empire in the Age of Capital				Chapel Hill	USA	2021		Z. Sell							http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/10.5149/9781469660479_sell.1	
S 		0	P	Armstrong-Fumero			1		"Legacies of Space and Intangible Heritage: Archaeology, Ethnohistory, and the Politics of Cultural Continuity in the Americas"				Boulder	USA	2017		"F. Armstrong-Fumero, J. H. Gutierrez"							https://www-jstor-org.ezp-prod1.hul.harvard.edu/stable/j.ctt1mmfthq	
S 		0	A	Poey					"A Chronological Table, Comprising 400 Cyclonic Hurricanes Which Have Occurred in the West Indies and in the North Atlantic within 362 Years, from 1493 to 1855; With a Bibliographical List of 450 Authors, Books, &c., and Periodicals, Where Some Interesting Accounts May be Found, Especially on the West and East Indian Hurricanes"						1855		A. Poey		Journal of the Royal Geographic Society	25				file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/1798124%20copy.pdf	
S 227	227	0	P	Quezada			1		La colonización de los mayas peninsulares				Merida	Mexico	2011		S. Quezada							file:///Users/angelnavidad/Downloads/18-La%20colonización%20de%20los%20mayas%20peninsulares.pdf	
S 229	229	0	P	RAE			xxx		Diccionario de la lengua española				xxx		xxx										
S 230	230	0	P	RAH DNB			xxx		Diccionario Biográfico Español				xxx		xxx										
S 234	234	0	P	Reed			1		The Caste War in Yucatan				Stanford	USA	1964		N. Reed							xxx	
S 235	235	0	A	Reichert					"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"						2016		R. Reichert		Tzintzun	65				http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2017000100009&lang=es	
S 236	236	0	A	Restall					Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan						2014		M. Restall		Hispanic American Historical Review	94	3			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300	
S 237	237	0	P	Ribot			1		Belice: una historia olvidada				Mexico	Mexico	1993		M. T. Ribot							https://books.openedition.org/cemca/319	
S 238	238	0	P	Roberts			1		"Sir Henry Morgan, buccaneer and governor"				New York	USA	1933		W. A. Roberts							https://hdl.handle.net/2027/mdp.39015021845162	
S 239	239	0	A	Rossano					Down to the Bay						1989		G. L. Rossano		New York History	70	3			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260	
S 241	241	0	P	Roys 1			1		The Titles of Ebtun				Washington	USA	1939		R. L. Roys							https://hdl.handle.net/2027/txu.059173022901217	
S 242	242	0	P	Roys 2			1		The Political Geography of the Yucatan Maya				Washington	USA	1957		R. L. Roys							https://hdl.handle.net/2027/uva.x000422247	
S 243	243	0	P	Rugeley			1		"Rebellion Now and Forever : Mayas, Hispanics, and Caste War Violence in Yucatan : 1800—1880"				Stanford	USA	2009		T. Rugeley							"file:///Users/angelnavidad/Downloads/Terry%20Rugeley%20-%20Rebellion%20Now%20and%20Forever_%20Mayas,%20Hispanics,%20and%20Caste%20War%20Violence%20in%20Yucatan,%201800-1880%20(2009).pdf"	
S 244	244	0	T	Rushton					Under the Shade I Flourish						2014		E. A. C. Rushton							http://eprints.nottingham.ac.uk/27615/1/Hardbound%20Thesis_October2014_Rushton.pdf	
S 248	248	0	A	Scammell					"""A Very Profitable and Advantageous Trade"": British Smuggling in the Iberian Americas circa 1500-1750"						2000		G. V. Scammell		Itinerario	24	3			xxx	
S 252	252	0	T	Sorsby					"The British superintendency of the Mosquito Shore, 1749-1787"						1969		W. S. Sorsby							file:///Users/angelnavidad/Downloads/1882969.pdf	
S 253	253	0	P	Southey			3		Chronological history of the West Indies				London	UK	1827	xxx	T. Southey							http://id.lib.harvard.edu/alma/990026569840203941/catalog	
S 257	257	0	P	Squier			1		The states of Central America 				New York	USA	1858		E. G. Squier							"Gale/World Scholar: https://tinyurl.gale.com/tinyurl/DPB2g3 
Google: https://www.google.com/books/edition/The_States_of_Central_America/IHsaqv17bh8C?hl=en&gbpv=1&printsec=frontcover"	
S 		0	P	Stanly			1		A state of the accounts and disputes betwixt Jonathan Cowpland and John Wright Stanly				Philadelphia	USA	1768		J. W. Stanly							https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F81DB64AE03C0&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 		0	P	Stanly			1		"John Wright Stanly's reply to A few observations, lately published by Jonathan Cowpland"				Philadelphia	USA	1769		J. W. Stanly							https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F30151185CB1BC8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 		0	P	Stanly			1		Remarks on scurrility and oppression				Philadelphia	USA	1769		J. W. Stanly							https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2FD3CD749E1F90&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 262	262	0	A	Stoddart					"Three Caribbean Atolls: Turneffe Islands, Lighthouse Reef, and Glover's Reef, British Honduras"						1962		D. R. Stoddart		Atoll Research Bulletin	87				file:///Users/angelnavidad/Downloads/00087x.pdf	
S 265	265	0	A	Thompson					Sixteenth and seventeenth century reports on the Chol Mayas						1938		J. E. Thompson		American Anthropologist	40	4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/661615	
S 267	267	0	A	Thornton					"The Zambos and the Transformation of the Miskitu Kingdom, 1636–1740"						2017		J. K. Thornton		Hispanic American Historical Review	97	1			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-3727364	
S 268	268	0	P	Toussaint			1		"Belice : textos de su historia, 1670-1981"				Mexico	Mexico	2004			M. Toussaint						xxx	
S 271	271	0	P	UK BE			1		A millennium of UK data				London	UK	2016			"R. Thomas, N. Dimsdale"						https://www.bankofengland.co.uk/statistics/research-datasets	
S 273	273	0	P	US BC			1		"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"				Washington	USA	1949									https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
S 274	274	0	P	US DNB			xxx		American National Biography				xxx		xxx										
S 278	278	0	A	Victoria 03					Piratas en tierra adentro. Estrategia defensiva de una ciudad novohispana. Siglos XVI al XVIII						2003		J. Victoria Ojeda		Millars: espai i història	26				https://www.raco.cat/index.php/Millars/article/view/130852	
S 279	279	0	A	Victoria 93					La piratería y su relación con los indígenas de la península de Yucatán						1993		J. Victoria Ojeda		Mesoamérica	26				https://dialnet.unirioja.es/descarga/articulo/3726690.pdf	
S 280	280	0	A	Victoria 94					Piratería y estrategia defensiva en Yucatán durante el siglo XVIII						1994		J. Victoria Ojeda		Revista Complutense de Historia de América	20				https://revistas.ucm.es/index.php/RCHA/article/view/RCHA9494110129A/29211	
S 		0	A	Waddell					"Great Britain and the Bay Islands, 1821-61"						1959		D. Waddell		Historical Journal	2	1			xxx	
S 		0	A	Waddell 57					British Honduras and Anglo-American Relations						1957		D. Waddell		Caribbean Quarterly	5	1			xxx	
S 282	282	0	A	Wainwright					 Colonial Origins of the State in Southern Belize						2020		J. Wainwright		Anuario de Estudios Centroamericanos	46	1			https://revistas.ucr.ac.cr/index.php/anuario/article/view/45072	
S 		0	P	Walker			1		Perspectives on the ancient Maya of Chetumal Bay				Gainesville	USA	2016			D. S. Walker						http://id.lib.harvard.edu/alma/990148029690203941/catalog	
S 284	284	0	A	Watson					"A Filtered Past: Interpreting Salt Production and Trade Models from Two Remnant Brine-Enrichment Mounds at the Ancient Maya Paynes Creek Salt Works, Belize"						2019		"R. Watson, H. McKillop"		Journal of Field Archaeology	44	1			https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/00934690.2018.1557993	
S 290	290	0	P	Winzerling			1		"The Beginning of British Honduras, 1506-1765"				New York	USA	1946		E. O. Winzerling							https://ufdc.ufl.edu/UF00099216/00001	
S 291	291	0	P	Wombwell			1		Long War Against Piracy				Fort Leavenworth	USA	2010		J. A. Wombwell							https://www.hsdl.org/?view&did=23760	
S 		0	P	Wrong			1		Government of the West Indies				Oxford	UK	1923		H. H. Wrong							https://www.google.com/books/edition/Government_of_the_West_Indies/idZAAAAAIAAJ?hl=en	
S 293	293	0	T	Wu					"Jamaican trade, 1688-1769"						1996		Y. Wu							http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311	
S 295	295	0	P	Yucatan DNB			xxx		Yucatán en el tiempo : enciclopedia alfabética				xxx		xxx									xxx	
S 296	296	0	A	Zahedieh 86a					"Trade, Plunder, and Economic Development in Early English Jamaica, 1655-89"						1986		N. Zahedieh		Economic History Review	89	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2596150	
S 297	297	0	A	Zahedieh 86b					"The Merchants of Port Royal, Jamaica, and the Spanish Contraband Trade, 1655-1692"						1986		N. Zahedieh		William and Mary Quarterly	43	4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923683	
S 298	298	0	A	Zahedieh 90					"A Frugal, Prudential and Hopeful Trade’. Privateering in Jamaica, 1655–89"						1990		N. Zahedieh		Journal of Imperial and Commonwealth History	18	2			file:///Users/angelnavidad/Downloads/zahedieh1990.pdf	
S 299	299	0	P				1		A Dictionary of Weights and Measures for the British Isles: The Middle Ages to the Twentieth Century				Philadelphia	USA	1983		R. E. Zupko							file:///Users/angelnavidad/Downloads/bub_gb_0l_k-XMIiQIC.pdf	
S 		0	T	"Cook, Log"					A Study of the British Logwood Trade 1660–1783						1927		F. Cook							xxx	
S 																									
S 																									
