C1—30 / Online collections of archival material.
ID	TYPE	YR	ALT ID	AUTHORS	PUBLICATION	P	TITLE	DESC	DESC	DESC	DESC	DESC	LINK				
I54	PRINT	1978	London 1978	J. J. McCusker	London		"Money and exchange in Europe and America, 1600-1775: a handbook"						"/Users/angelnavidad/Downloads/John J. McCusker (auth.) - Money and Exchange in Europe and America, 1600–1775_ A Handbook-Palgrave Macmillan UK (1978).pdf"				
I57	PRINT	1986	Washington 1986	W. J. Morgan	Washington	237	Naval Documents of the American Revolution 7	"Am seizures, Washington affair"					https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html				
I59	PRINT	1989	"Albuquerque, NM 1989"	G. D. Jones	"Albuquerque, NM"	"62, 224"	Maya Resistance to Spanish Rule	"Sacking / Destruction of Bacalar 1642, 1648"	"Piracy on Maya > 1638, 1641"				file:///Users/angelnavidad/Downloads/Grant D. Jones - Maya resistance to Spanish rule_ Time and history on a colonial frontier-University of New Mexico Press (1989).djvu				
I67	PRINT	1998	"Armonk, NY 1998"	K. E. Lane	"Armonk, NY"		Pillaging the Empire	Assault on Tor & migration 34	Assault on Provid 41				file:///Users/angelnavidad/Downloads/9781315722269.pdf				
I68	PRINT	1998	"Stanford, CA 1998"	G. D. Jones	"Stanford, CA"		Conquest of the Last Maya Kingdom						https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515				
I70	PRINT	2008	"Santa Barbara, CA 2008"	D. F. Marley	"Santa Barbara, CA"		Wars of the Americas	"Fr sack P Cab 1558, 1560"	"Eng sack P Cab 1592, 1594 [var], 1595 [var], 1597, 1602, 1603, 1668"	Baymen sack Ascension 1727	Bacalar rebuilt 1729	"Fr Sp assault Tortuga 1634, 1642, 1654, 1662, 1663"	"file:///Users/angelnavidad/Downloads/Wars of the Americas A Chronology of Armed Conflict in the Western Hemisphere, 1492 to the Present by David Marley (z-lib.org).pdf"				
I71	PRINT	2009	"Cambridge, MA 2009"	J. Latimer	"Cambridge, MA"		Buccaneers of the Caribbean	Providence falls 1641					https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172				
I72	PRINT	2009	Ithaca 2009	M. Craton	Ithaca		Testing the chains: resistance to slavery in the British West Indies	Slave revolts	Slave desertions				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568				
I74	PRINT	2011	"Gainesville, FL 2011"	E. Graham	"Gainesville, FL"		Maya Christians and Their Churches in Sixteenth-Century Belize	Bucc raids > 1638					https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957				
I78	PRINT	2019	Belmopan 2019	"M. Ferguson, et al."	Belmopan		A History of Slavery & Emancipation in Belize	Af Slavery					https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf				
I80	STATE	1638	"MEXICO,360,R.5,N.24"				CARTAS DE GOBERNADORES	Ma fear attack fm Bac					http://pares.mcu.es/ParesBusquedas20/catalogo/description/369617?nm				
I81	STATE	1638	"MEXICO,360,R.5,N.29"				CARTAS DE GOBERNADORES	Ma fear attack fm Bac					http://pares.mcu.es/ParesBusquedas20/catalogo/show/369622?nm				
I82	STATE	1643	"MEXICO,360,R.5,N.33"				CARTAS DE GOBERNADORES	Bacalar assault	Soite sacked				http://pares.mcu.es/ParesBusquedas20/catalogo/show/369626?nm				
I83	STATE	1653	"MEXICO,360,R.10,N.48"				CARTAS DE GOBERNADORES	Plague / famine					http://pares.mcu.es/ParesBusquedas20/catalogo/show/369641?nm				
I84	STATE	1683	CSP 1163				‘America and West Indies: July 1683’	Fr Dutch Pir assault Sp					"‘America and West Indies: July 1683’, in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 452-462. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp452-462 [accessed 17 February 2021]."				
I85	STATE	1684	CSP 2067				America and West Indies: February 1685'	 					"America and West Indies: February 1685', in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 765-769. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp765-769 [accessed 17 February 2021]."				
I86	STATE	1684	CSP 1563				America and West Indies: February 1684'	Pir head to Bay					"America and West Indies: February 1684', in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 581-601. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp581-601 [accessed 17 February 2021]."				
I87	STATE	1685	CSP 378				America and West Indies: September 1685'	Navy officers careen in Bay					"America and West Indies: September 1685', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 86-99. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp86-99 [accessed 17 February 2021]."				
I88	STATE	1686	CSP 1066				America and West Indies: December 1686'	 					"America and West Indies: December 1686', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 293-307. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp293-307 [accessed 17 February 2021]."				
I89	STATE	1687	CSP 1580				America and West Indies: December 1687'	 					"America and West Indies: December 1687', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 474-485. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp474-485 [accessed 17 February 2021]."				
I90	STATE	1688	CSP 1624				America and West Indies: February 1688'	Pir assault Sp					"America and West Indies: February 1688', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 491-509. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp491-509 [accessed 17 February 2021]."				
I91	STATE	1689	"MEXICO,250,N.1"				Expediente de Confirmación de Encomienda de Loche y Senotchuil en Valladolid a Antonia González de Moredo. Resuelto	Bucc assaults					http://pares.mcu.es/ParesBusquedas20/catalogo/show/369386?nm				
I92	STATE	1696	"MEXICO,363,R.4,N.75"				CARTAS DE GOBERNADORES	First Offensives					http://pares.mcu.es/ParesBusquedas20/catalogo/show/369882?nm				
I93	STATE	1715	CSP 271 I				"America and West Indies: March 1715, 1-15'"	Sp seize Baltimore ship					"America and West Indies: March 1715, 1-15', in Calendar of State Papers Colonial, America and West Indies: Volume 28, 1714-1715, ed. Cecil Headlam (London, 1928), pp. 110-122. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol28/pp110-122 [accessed 17 February 2021]."				
I94	STATE	1715	CSP 508				"America and West Indies: July 1715, 1-15'"	 					"America and West Indies: July 1715, 1-15', in Calendar of State Papers Colonial, America and West Indies: Volume 28, 1714-1715, ed. Cecil Headlam (London, 1928), pp. 215-235. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol28/pp215-235 [accessed 17 February 2021]."				
I95	STATE	1720	CSP 95				America and West Indies: June 1720'	"Hon, Camp prisoners at Carthagena < May 1720"					"America and West Indies: June 1720', in Calendar of State Papers Colonial, America and West Indies: Volume 32, 1720-1721, ed. Cecil Headlam (London, 1933), pp. 44-60. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol32/pp44-60 [accessed 17 February 2021]."				
I96	STATE	1764	G 10456				London Gazette 10456	Sp to restore Bay c 27 Sep 64					https://www.thegazette.co.uk/London/issue/10456/page/1/data.htm				
I97	STATE	1765	G 10530				London Gazette 10530	Sp restore Bay on 5 Mar 65					https://www.thegazette.co.uk/London/issue/10530/page/1/data.htm				
I98	STATE	1766	CO 5/119 I				Admiralty Office; Sundry papers relative to the Bay of Honduras delivered to John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras	Losses fm 64 expulsion	"Losses fm Neg runaways in 66, 67"				"Admiralty Office; Sundry papers relative to the Bay of Honduras delivered to John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras. 1766/05/15-1771/07/08. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_012>."				
I99	STATE	1768	CO 5/114				Memorial and correspondence made to the Earl of Hillsborough regarding regulations surrounding settler laws and regulations in the Bay of Honduras	 					"Memorial and correspondence made to the Earl of Hillsborough regarding regulations surrounding settler laws and regulations in the Bay of Honduras. 1768. Submission; Correspondence; Legislation. The National Archives, Kew, CO 5/114. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_114_064>."				
I100	STATE	1771	CO 5/119 I				Admiralty Office; Letters from John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras	Yucatan famine					"Admiralty Office; Letters from John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras. 1771/05/19-1771/07/08. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_011>."				
I101	STATE	1771	CO 5/119 I				Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras	 					"Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras. 1771/06/20-1771/12/20. Correspondence; Military Document. The National Archives, Kew, [[CO]] [[5/119]] Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_010>."				
I102	STATE	1771	CO 5/119 I				Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras	 					"Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras. 1771/06/20-1771/12/20. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_010>."				
I103	STATE	1773	CO 5/120				"Copy of the magistrates' letter to Don Joseph Rosado, commandant of Bacalar, on the ongoing grievance regarding reparations towards the Spanish, and a murder"	Davidson’s revolt	Maya assault				"Copy of the magistrates' letter to Don Joseph Rosado, commandant of Bacalar, on the ongoing grievance regarding reparations towards the Spanish, and a murder. 1773/08. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_013>."				
I104	STATE	1773	CO 5/120				"Letter from the chairman of the Committee of Inhabitants of St George's Quay, on the shipwrecked 'Thetis' and the slave rebellion"	 					"Letter from the chairman of the Committee of Inhabitants of St George's Quay, on the shipwrecked 'Thetis' and the slave rebellion. 1773/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_053>."				
I105	STATE	1773	CO 5/120				Mr Farrell's petition to the magistrates with their remarks	 					"Mr Farrell's petition to the magistrates with their remarks. 1773/03/20-1773/07/23. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_061>."				
I106	STATE	1773	CO 5/120				Copy of a letter from the commandant of Bacalar to James Farrell and an inventory of effects saved from the 'Thetis' and sent to him	 					"Copy of a letter from the commandant of Bacalar to James Farrell and an inventory of effects saved from the 'Thetis' and sent to him. 1773/04/13-1773/07/23. Correspondence; List. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_063>."				
I107	STATE	1773	CO 5/120				George Bridges Rodney on his dealing with a complaint regarding illicit trade on the Mississippi River	 					"George Bridges Rodney on his dealing with a complaint regarding illicit trade on the Mississippi River. 1773/04/14-1774/02/07. Correspondence; Minutes. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_010>."				
I108	STATE	1773	CO 5/120				Petition to the magistrates of the Bay of Honduras and answer in relation to the shipwreck 'Thetis' and its salvage	 					"Petition to the magistrates of the Bay of Honduras and answer in relation to the shipwreck 'Thetis' and its salvage. 1773/04/22. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_060>."				
I109	STATE	1773	CO 5/120				Correspondence from George Bridges Rodney on grievances with the Spanish over a shipwreck and the behaviour of settlers	 					"Correspondence from George Bridges Rodney on grievances with the Spanish over a shipwreck and the behaviour of settlers. 1773/05/01-1773/11/30. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_035>."				
I110	STATE	1773	CO 5/120				Copy of an order to Captain Davey of the 'Diligence' for his conduct in the Bay of Honduras	 					"Copy of an order to Captain Davey of the 'Diligence' for his conduct in the Bay of Honduras. 1773/05/04. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_037>."				
I111	STATE	1773	CO 5/120				"Copy of a letter to Antonio Oliver, captain general of Yucatan"	 					"Copy of a letter to Antonio Oliver, captain general of Yucatan. 1773/05/06. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_039>."				
I112	STATE	1773	CO 5/120				Copy of a letter to Walter Davidson of the magistrates to be and was communicated to the inhabitants	 					"Copy of a letter to Walter Davidson of the magistrates to be and was communicated to the inhabitants. 1773/05/06. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_038>."				
I113	STATE	1773	CO 5/120				Copy of three letters from Captain Davey to the inhabitants of St George's Quay	 					"Copy of three letters from Captain Davey to the inhabitants of St George's Quay. 1773/05/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_040>."				
I114	STATE	1773	CO 5/120				Letters concerning the recovery of effects from the 'Thetis' and a slave insurrection	Thetis affair	Slave revolt				"Letters concerning the recovery of effects from the 'Thetis' and a slave insurrection. 1773/05/26-1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_042>."				
I115	STATE	1773	CO 5/120				Resolutions of the inhabitants of St George's Quay in relation to the ship 'Thetis'	 					"Resolutions of the inhabitants of St George's Quay in relation to the ship 'Thetis'. 1773/05/26. Minutes. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_041>."				
I116	STATE	1773	CO 5/120				Letter from Captain Davey of the 'Diligence' to the commandant of Bacalar on recovering the effects of the 'Thetis'	 					"Letter from Captain Davey of the 'Diligence' to the commandant of Bacalar on recovering the effects of the 'Thetis'. 1773/05/27. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_043>."				
I117	STATE	1773	CO 5/120				Letter from Captain Davey to George Bridges Rodney	 					"Letter from Captain Davey to George Bridges Rodney. 1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_044>."				
I118	STATE	1773	CO 5/120				"Letter from the chairman of the Committee of Inhabitants at St George's Quay, complaining of misrepresentation in regards to the settlers' behaviour"	 					"Letter from the chairman of the Committee of Inhabitants at St George's Quay, complaining of misrepresentation in regards to the settlers' behaviour. 1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_045>."				
I119	STATE	1773	CO 5/120				Affidavit by Thomas Ross of the 'Charlotte' schooner regarding indigo which may have been illegally acquired	 					"Affidavit by Thomas Ross of the 'Charlotte' schooner regarding indigo which may have been illegally acquired. 1773/05/31. Legal Document. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_046>."				
I120	STATE	1773	CO 5/120				Copy of the magistrates' letter to the commandant of Bacalar giving an account of a slave rebellion	Slave revolt					"Copy of the magistrates' letter to the commandant of Bacalar giving an account of a slave rebellion. 1773/06/4-1774/02/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_011>."				
I121	STATE	1773	CO 5/120				Letter from Antonio Oliver to George Bridges Rodney regarding the effects taken from the shipwrecked 'Thetis'	 					"Letter from Antonio Oliver to George Bridges Rodney regarding the effects taken from the shipwrecked 'Thetis'. 1773/06/13. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_047>."				
I122	STATE	1773	CO 5/120				Letter from the chairman of the Committee of Inhabitants at St George's Quay on the matter of the 'Thetis' and the settlers' behaviour	 					"Letter from the chairman of the Committee of Inhabitants at St George's Quay on the matter of the 'Thetis' and the settlers' behaviour. 1773/06/18. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_048>."				
I123	STATE	1773	CO 5/120				Letter from Captain Davey with discussion of the slave rebellion	Slave revolt					"Letter from Captain Davey with discussion of the slave rebellion. 1773/06/21. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_049>."				
I124	STATE	1773	CO 5/120				Letter by John Nasmith regarding conduct in relation to the shipwrecked 'Thetis'	 					"Letter by John Nasmith regarding conduct in relation to the shipwrecked 'Thetis'. 1773/06/22. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_050>."				
I125	STATE	1773	CO 5/120				"Letters from messieurs Smith and Wright, inhabitants of St George's Quay on grievances with the Spanish"	 					"Letters from messieurs Smith and Wright, inhabitants of St George's Quay on grievances with the Spanish. 1773/06/24. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_051>."				
I126	STATE	1773	CO 5/120				Questions from the Committee for Public Business and answers	 					"Questions from the Committee for Public Business and answers. 1773/07/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_057>."				
I127	STATE	1773	CO 5/120				Affidavits taken in relation to the shipwrecked 'Thetis'	 					"Affidavits taken in relation to the shipwrecked 'Thetis'. 1773/07/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_059>."				
I128	STATE	1773	CO 5/120				Memorandum by John Deane relating to the shipwrecked 'Thetis'	 					"Memorandum by John Deane relating to the shipwrecked 'Thetis'. 1773/07/23. Legal Document. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_058>."				
I129	STATE	1773	CO 5/120				Certificate of John Alexander concerning the price of indigo	 					"Certificate of John Alexander concerning the price of indigo. 1773/07/24. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_062>."				
I130	STATE	1773	CO 5/120				Copies of the governor and captain general's letter to the commandant of Bacalar and a translation of his response to the magistrates	 					"Copies of the governor and captain general's letter to the commandant of Bacalar and a translation of his response to the magistrates. 1773/07/26. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_012>."				
I131	STATE	1773	CO 5/120				Copy of an order to Captain Judd of the 'Garland' to investigate complaints relating to the log wood treaty and slave rebellion	 					"Copy of an order to Captain Judd of the 'Garland' to investigate complaints relating to the log wood treaty and slave rebellion. 1773/08/08. Order. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_054>."				
I132	STATE	1773	CO 5/120				"Copy of a letter to Richard Hoare by George Bridges Rodney, expressing dissatisfaction of his handling of affairs with the Spanish"	 					"Copy of a letter to Richard Hoare by George Bridges Rodney, expressing dissatisfaction of his handling of affairs with the Spanish. 1773/08/10. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_055>."				
I133	STATE	1773	CO 5/120				"Copy of the proceedings relating to Don Francisco Casado's demand on one of the magistrates of the Bay of Honduras, regarding the shipwrecked 'Thetis'"	 					"Copy of the proceedings relating to Don Francisco Casado's demand on one of the magistrates of the Bay of Honduras, regarding the shipwrecked 'Thetis'. 1773/09/14-1773/09/15. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_017>."				
I134	STATE	1773	CO 5/120				Copy of a letter from the chairman of the Committee of His Majesty's subjects in the Bay of Honduras	 					"Copy of a letter from the chairman of the Committee of His Majesty's subjects in the Bay of Honduras. 1773/09/25-1773/10/11. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_018>."				
I135	STATE	1773	CO 5/120				"Copy of the petition of the magistrates and inhabitants of the Bay of Honduras to Sir George Bridges Rodney, protesting the Spanish"	 					"Copy of the petition of the magistrates and inhabitants of the Bay of Honduras to Sir George Bridges Rodney, protesting the Spanish. 1773/10/09. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_019>."				
I136	STATE	1773	CO 5/120				Copy of a letter from James McAulay to Christopher Winn on the trial of a British subject	 					"Copy of a letter from James McAulay to Christopher Winn on the trial of a British subject. 1773/10/12. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_021>."				
I137	STATE	1773	CO 5/120				"Copy of a letter from Walter Davidson, one of the magistrates in the Bay of Honduras, to Sir George Bridges Rodney"	 					"Copy of a letter from Walter Davidson, one of the magistrates in the Bay of Honduras, to Sir George Bridges Rodney. 1773/10/12. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_020>."				
I138	STATE	1773	CO 5/120				"A copy of a letter from Captain Judd to Admiral Rodney, discussing whether the settlers are permitted to chop wood according to the treaty with the Spanish"	 					"A copy of a letter from Captain Judd to Admiral Rodney, discussing whether the settlers are permitted to chop wood according to the treaty with the Spanish. 1773/11/03. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_022>."				
I139	STATE	1773	CO 5/120				Report from George Bridges Rodney on a suppressed slave rebellion and attempts to make reparations to the Spanish	Slave revolt					"Report from George Bridges Rodney on a suppressed slave rebellion and attempts to make reparations to the Spanish. 1773/11/06-1774/02/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_009>."				
I140	STATE	1774	CO 5/120				Determination of the Committee concerning the salvage of the 'Thetis'	 					"Determination of the Committee concerning the salvage of the 'Thetis'. 1774/09/14. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_016>."				
I141	STATE	1779	CO 5/117				Memorial of Captain John Grant relating to acquiring granted funds for a journey to New York	 					"Memorial of Captain John Grant relating to acquiring granted funds for a journey to New York. 1779. Submission. The National Archives, Kew, CO 5/117. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_117_015>."				
I142	STATE	1779	CO 5/131				"Letter sent to Lord Germain by Lords of the Admiralty, transmitting twelve enclosures relating to reports received from Vice Admiral Parker in Jamaica referring principally to French forces under the Comte D'Estaing"	 					"Letter sent to Lord Germain by Lords of the Admiralty, transmitting twelve enclosures relating to reports received from Vice Admiral Parker in Jamaica referring principally to French forces under the Comte D'Estaing. 1779/09/09-1780/01/14. Correspondence. The National Archives, Kew, CO 5/131. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_131_001>."				
I143	STATE	1779	G 12040				London Gazette 12040	Siege of Omoa					https://www.thegazette.co.uk/London/issue/12040/page/1/data.htm				
I144	STATE	1799	G 15100				London Gazette 15100	Battle of St. George’s Caye					https://www.thegazette.co.uk/London/issue/15100/page/69/data.htm				
