E 1—320 / Events.
ID	NO	OUT	MIL	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	NON—SP	NON—SP	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 		1			6 Jun 1810	6 Jun 1810	Customs Office est	"Pub Mtg resolves to appoint a boarding officer or searcher to enforce regulations regarding imports, thereby transferring responsibility for customs from Magistrates or Superintendent to public officer"	Old											"MM B [6, 9 Jun 1810]"	Burdon 2 137	"Searcher appointed by Mags, paid $10 pd of service, on 9 Jun 1810 /v Burdon 2 /MM B"	
E 				xxx	4 Jul 1810	30 Jul 1810		"Epidemic among ship at port, of yellow fever, ordered quarantined at Southern Triangle by Mags"	"Old, Southern Triangle"											MM B [4 Jul 1810]	Burdon 2 138		
E 		1			4 Sep 1810	31 May 1811	Belt and Bayonet Assault Case	"Soldiers draw belts and bayonets on Neg and people of Colour, thereby nearly causing a serious riot, on which Mags hold Enquiry, Sup protests their authority to try military men without first referring matter to HM Ministers, and Pub Mtg and Mag protest Sup conduct, finally resolved in favour of Sup by Home Gov"	"Old, London"		Lt Col John Nugent Smyth	London Agent John Inglis / Kingston Agent Robert Ross / David Emery								"MM B [5, 7, 10, 12 Sep 1810, 28 Sep, 29 Oct, 2 Nov 1811]
ML D [22 Oct 1810, 1 May, 5 Jun 1811]
R 1 [31 May 1811]"	"Burdon 2 141, 145"	"7 Sep 1810 Pub Mtg 50 present resolves 50–0 in favour of Mags authority to trying military officers /v Burdon 2 /MM B

10 Sep 1810 Pub Mtg 50 present. Resolved that reasons assigned by HM Sup for recent conduct towards Mags were ""inapplicable to the British Settlement in Honduras""; that meeting felt it their indispensable duty to support the Mags ""in opposing this dangerous innovation on their Civil Constitution and in using every legal means within their power to preserve inviolate that form of Civil Government sanctioned and confirmed to them""; and that there were precedent sin the Settlement for trial of military men by Civil courts for committing crimes. ... Conduct of Sup characterised as ""of an alarming and dangerous nature to the peace and safety of HM Subjects settled in Hon” ... /v Burdon 2 /MM B

31 May 1811 Lord Liverpool to Sup. Approves his action in refusing to allow offence by soldiers to be tried by Mags. States that in any place where there is no civil Jurisdiction in force, offences by Military must be tried by Court Martial, and that it is not possible to admit ""the claim made by the Magistrates of the Settlement to be upon the same footing in point of the right of Jurisdiction with the forms of Judicature established in the West India Islands."" /v Burdon 2 /R 1"	
E 		1			5 Nov 1810	11 Feb 1811	Smyth Grant and St. John’s Cathedral est	"Lt Col John Nugent Smyth offers 200 sq ft lot on Old Parade Ground, South Side, Belize Town for purpose of building a church ie St. John’s Cathedral, later accepted by Pub Mtg"	Old		Lt Col John Nugent Smyth / Rev John Armstrong									"MM B [5, 10 Nov 1810, 11 Feb 1811, 7, 14 Jul 1812]
ML D [4 Sep 1811, 2 Mar 1812]
PR 3 [14 Jul 1812]"	Burdon 2 143	"First stone for St. John's Cath laid 20 Jul 1812  /v Burdon 2 144 fn 1

11 Feb 1811 Pub Mtg Resolve that the Church [proposed 5 Nov 1810 by Lt Col Smyth] be built /v Burdon 2 /MM B"	
E 		1			28 Sep 1811	13 Jul 1819	Charter of Justice	"On Home Gov's derogation of Mag's authority to try offences by Military [during Belt and Bayonet Assault Case], Pub Mtg resolves to obtain Charter of Justice competent to hold Court of Judicature in Settlement, and adopt further reforms of Courts, including adoption of Criminal Law of England"	Old											"MM B [28 Sep, 29 Oct, 2 Nov 1811]
ML D [22 Jan 1812, 12 Jan, 25 Oct, 2 Nov 1819]
MM C [10 Aug 1818]
R 1 [7 Nov 1818]
Hansard, Lords, 13 Jul 1819 = 59 Geo III 44"	"Burdon 2 148, 209, 220"	"29 Oct, 2 Nov 1811 Pub Mtgs. Report of Committee for obtaining Charter of Justice, as adopted. Criminal Law of England to be adopted. Sup to be given power of authorising execution after conviction and also of exercising HM Pardon and of remission of fines &c. HM prayed to appoint a Judge to preside over Superior Courts, civil and criminal, at salary of not less than £1,000 Sterling. Three Assistant Judges to be chosen from the Inhabitants, subject to Sup approval. The Customs and Usages of the Settlement to form the Civil Code. A Council of five to be nominated by the Inhabitants, subject to Sup approval. The law in force to be as passed by Pub Mtg and approved by Sup. Only British Born Subjects to be eligible for Asst Judge, Member of Council or Magistrate. Three Magistrates to be elected annually. The raising of moneys for Public use to be vested in the Public Meeting. The appropriation of Public Moneys to be vested in the Magistrates and Council. Appeal in cases between £1000 Sterling and £500 Jamaica Currency to be to the Sup and Council with seven Inhabitants chosen by the Council. Actions under £10 to be tried by Summary Court of one Magistrate and three Inhabitants, under £2 by one Magistrate. The Provost Marshal General to be under the Chief Judge; Clerks of Court, Coroner and Constables under the Magistrates. Court of Ordinary to consist of Sup and Council. /v Burdon 2 /MM B

25 Oct 1819 Pub Mtg. Letter read from Gen. [Isaac] Gascoyne [MP for Liverpool] relative to Civil Judicature of Settlement and reporting that Bill had passed [Commons] authorising Commissioned be appointed to try capital offences. /v Burdon 2 /MM D"	
E 				xxx	22 Feb 1812	25 Feb 1812	Sup reclaims New	"Sup sends 2 Buques to dislodge small naval detachment from Bacalar stationed at New R, reclaiming New R for Hon"	New	Comm of Bac Juan Bautista Gual / Capt Manuel Melendez / José María Encalada	Col John Nugent Smyth / Capt John Coatguelwin / Mr. Wade / Mr Hyde / Mr Bennet / Lawrie / Douglas / Willson / Grant / Hove / Nancy / Perry Mackinsey / Gale / William Gempsly or Gempsin									"xxx [Gual a Smyth, Bacalar a 28 febrero 1812, 7 agosto 1812]"	Peniche 383	"Gual a Smyth, 1812 letters annexed to [c 1869] “una acta del ayuntamiento de Bacalar, que existe en el archivo del ministerio de relaciones."" /Peniche 388

Gual a [Col John Nugent] Smyth, Bacalar a 28 febrero 1812. De mi oficio de 25 del corriente [feb 1812] habrá V.S. inferido la sorpresa que recibiria al primer parte que se me dió de haberse presentado en la boca del Rio Nuevo dos buques armados, cuyo cmoandante, de órden de V.S., hizo retirar el pequeño destacamento que habia yo mandado á aquel puerto de mi jurisdiccion, y desde luego creí que algun equivocado informe habria sido la causa; pero mas me ha sorprendido vern en el oficio de V.S. del 22 (que me entregó ayer D. Juan Coatguelwin, capitan commandante de artillería) que considera el Rio Nuevo no comprendido en el distrito de este gobierno.—Con fecha 17 de Julio 1810 exigí de V.S. que dictara providencias para que ningun habitante de ese establecimiento volviera á entrar por las puntas de Piedra y Calentura á poner cortes de madera á otros trabajos de la parte de acá; y su contestacion, léjos de oponerse á esta circunstancia ni mirarla como nueva ó injusta, fué la de que iba á dar cuenta á los ministros de S.M.B. con mi oficio, y que entretanto permanecerian las cosas en el estado en que se hallaban. Ni los capitanes generales de Yucatan, ni los gobernadores de Bacalar desde que una declaracion de guerra abolió el tratado de paz de 1783 y convencion de 86, han creido que los súbditos británicos pudieran extenderse hasta dentro de dichas puntas: y la correspondencia que medió entre la capitanía general y esa superintendencia, despues del tratado de paz de Amiens, fué extendida en este concepto; sin que á él se oponga el que algunos con precaucion para no ser vistos de la vigía de San Antonio, hayan venido á dicho Rio Nuevo; y tengo una reciente prueba de que ellos mismos han graduado de ilícita su conducta, y es la de que el Sr. Wade, en papel que envió para mí con fecha 2 del corriente, no expresó el lugar donde estaba ni el cabo destacado en dicho vigía: por mas que preguntó á los conductores de dónde venian, consiguió descubrir la verdad, pues le dijeron que del Walix, hallándose Wade en la laguna del Tipú, ... /v Peniche 383 /xxx

Gual a Smyth, Bacalar a 7 agosto 1812. Me dijo V.S. en su oficio de 22 de Febrero [1812], y con mas extension en el de 4 de Marzo, que los cortadores de madera habian estado cortándola en Rio Nuevo durante la guerra y siempre despues de ella. En este presidio todo el tiempo de la guerra hubo lo ménos triplicado número de tropas que en ese establecimiento, una lancha con un cañon de á 24, un ponton con uno de á 18, todas las piraguas armadas, y se hacian preparativos para una expedicion con fuerzas navales que debian venir de Campeche, y continuamente una piragua bien guarnecida y con artillería de guarda-costa, cruzando hasta mas de las puntas de Piedra y Calentura, y la misma subia por Rio Nuevo á la laguna del Tipú para reconocer sus crillas y particularmente el istmo que media entre el extremo de esta y el estero español ó *Spanish Creek*, habiendo sido el capitan D. .Manuel Melendez quien practicó esta diligencia al concluirse la guerra: de aquí inferirá V.S. que ningun cortador habia de incurrir en la temeridad de venir á Rio Nuevo con la seguridad de ser hecho prisionero; ... se me dió parte en Octubre [1810] de que se habian visto en la vigía de San Antonio dos ó tres botes: mandé al subteniente D. José Luis Melendez á hacer un reconocimento en Rio-Nuevo, lo subió y no halló huellas ni aun ramas cortadas, ni la menor señal de haber entrado hombres en él, y esto lo corrobora el que los ranchos encontrados por el capitan Melendez en Febrero último [1812], se componian de chozas pequeñísimas y muy nuevas, ... si V.S. pide informer hallará que todos han graduado allá de fraudulentos los cortes de los caballeros Hyde, y Bennet y otro, pues es punto que judicialmente se examinó y decidió en junta de magistrados por Julio del año pasado [1811]. ... En suma, los colonos Hyde y Bennet animados de su caudal, y el mulato Armstrong porque sirve á estos, se han hecho dueños de todo el rio [Nuevo], hasta el extremo de haber abusado del candor y buena fé de V.S. moviéndole con engaños á una providencia hostil de que despues trataré. Habiendo sido la mia tan moderada, que solo envié una piragua con un oficial y veinte hombres, con órdenes terminantes para usar de la mayor atencion y suavidad en un parage que era asilo de desertores y reos de otros delitos, y donde los cortadores tenian ciento ó mas negros esclavos.—V.S. en sus citados oficios considera las dos riberas de Rio-Nuevo y la meridional de Rio-Hondo, como unos terrenos á que tienen derecho los colonos ingleses y sobre que hay discusion pendiente entre los dos gobiernos. ... en mis oficios de 17 de julio de 1810 y 25 de Febrero último, no hice reclamo alguno sobre la ocupacion de muchas leguas de la ribera septentrional desde el punto donde desgua el estero negro ó *Black Creek* para arriba, ni dí por confiscadas las ochocientas piezas de caoba cortadas en la misma ribera, fundéndome en que no había camino abierto hasta la laguna del Tipú para extraerlas por Rio-Nuevo, y porque se hallaban en terreno ocupado por las fuerzas británicas aunque fuera de los límites señalados por el tratado de 83 y convencion de 86. ... He probado con claridad y solidez que los colonos ingleses no tiene derecho alguno á cortar maderas en Rio-Nuevo y Rio-Hondo, como no ocupados por las fueras británicas ni de otro modo en la última guerra; que los cortes que hay ahora en Rio-Nuevo, son recientes y fraudulentos; que sus dueños abusando de la rectitude de V.S. y fiados en que hace solo tres años que llegó á ese establecimiento, donde no encontró en su archivo la correspondencia sobre la materia con la capitanía general de esta provincia, que le diese luces sobre las verdades que llevo referidas, se han atrevido á engañarle para que dictase una providencia cuya ejecucion léjos de ser tan moderada como indican sus oficios de 22 de Febrero y 4 de Marzo, fué en extremo violenta; pues el comandante D. Juan Coatguelwin, llegó á la embocadura del Rio-Nuevo como á las tres de la tarde del 24 de Febrero con tres goletas, dos de ellas armada cada una con un cañon de grueso calibre á proa, tres obuses en las bandas y crecido número de tropas cargando sus armas; pasó á su bordo el sargento comandante del pequeño destacamento de un cabo y seis soldados que habia mandado yo á quiel punto con órdenes llenas de lenidad, respecto de los individuos para que saliesen libremente con sus equipages y armas de cazar, y con el único objeto de que no permitiese extraer las maderas justamente confiscadas; ... /v Peniche 385 /xxx"	
E 				War 9	10 Aug 1812	30 Aug 1812		Mags and Sup fortify Hon	"Old, St. George’s"									"Cost = repairs of 3 Forts £700, xxx"		"MM B [10, 12 Aug 1812]"	Burdon 2 155	"Forts = Fort George, 2 Forts to Southward of Belize Town"	
E 		1			28 Aug 1814	28 Aug 1814		Anglo–Spanish Treaty	Madrid												Peniche 391	"[D]ebemos creer quisieron [Inglaterra y España] convenir en restablecer la convencion de 1786, que no era otra cosa que una concesion comercial, y por tanto está comprendida entre las [convenciones] que se declararon vigentes. Sin embargo, no aparece que se hubiese vuelto á la observancia de esa convencion, esto es, que se hubiesen vuelto á nombrar visitadores [comisionarios] y que acabase la organizacion civil y militar que ya tenia Belice, ... /Peniche 391"	
E 		1			6 Jan 1815	6 Jan 1815	Arthur Address	Sup Mjr George Arthur addresses Pub Mtg regarding urgent need to address ill state of Public Funds and Constitution of Hon	Old		Mjr George Arthur									MM B [6 Jan 1815]	Burdon 2 170	"See contemporaneous maps MP-GUATEMALA,277 / MP-GUATEMALA,277BIS, from a report made to Col Juan Antonio de Tornos at Comayagua, 21 Sep 1815

6 Jan 1815 Sup to Pub Mtg. ""... For God's sake pause, before you advance one step further! Consider who are the persons so actively employed and busied in your Public Affiars—whispering in your Ears the pleasing sound of Freedom and Independence, and of casting off the shackles of those, whom they would persuade you, are your oppressors. ... Now Gentlemen let me ask you, what can my observations be on your Civil Situation? Would you have me discribe the disrespect with which your Magistrates are treated? The Discord and Tumult which prevail at your Public Meetins? The vile attempt which has been made to introduce Black and Charabs to vote at your assemblies? and to fill up the Picture, the system which has been adopted within the last few Days at the Election of your Magistrates? ... What Statement am I to afford with regard to your Finances? Am I to tell HM Gov that you reject and resist every system proposed for raising Money? and, that, so far from coming forward to assist Government, you are unwilling to contribute even to those Essentials on which the safety and security of your very lives depend. The Bridge is known by every Individual to be in so ruinous a state that it can scarcely be expected to hold together form day to day— ... The Church, which has been erected at so great an expence, cannot be rendered useful to the Public—The Jail has fallen into such decay that the most notorious Offender may make his escape at pleasure—and a Debt has been contracted to the Amount of nearly 10,000 Pounds, which in honour the Public is bound to liquidate—with all these circumstances before you opposition is made to every means of raising Money, ... No one as a Matter of convenience would prefer being taxed, but when the Welfare of the Community depends upon it, surely no man would be so selfish as to withold his contribution. To those in particular, I would address myself who are Natives of this Settlement, who have been born and brought up in Honduras with all their Families and Friends about them—surely, you must feel a powerful Attachment to your native Soil, and cannot but wish to see it thrive and flourish in Tranquility. ...” Pub Mtg resolve 39–0 hearty concurrence with Sup sentiments particularly in matter of change in Civil System, and unqualified thanks for his attention to Public Welfare. Duties prev repealed [on 26 Oct 1813] reenacted. Poll tax proposed on 6 Jan 1813 enacted for 2 yrs. Regulations now made not to be revoked without Sup approval. /v Burdon 2 /MM B"	
E 		1			20 Jan 1815	20 Jan 1815	Usher Memorial	"William Usher, a free person of colour, petitions King for parity of rights and privileges with white Baymen"	Old											"CO 123/24 [Memorial of Usher 20 Jan 1815 / Arthur to Bathurst 16 Feb 1815]
R 1 [Bathurst to Arthur 28 Nov 1815]"	Bolland 75 184	"Likely no action taken /v Bolland 75 185

20 Jan 1815. Memorial of William Usher. That your Memorialist being a descendant of those Race of Indians who inhabit the Mosquito Shore, but in the sixth generation removed from said Indians to White ... Your Memorialist was born upon the Mosquito Shore whose father was an Englishman, a native of London, he was sent to England at a very early age to the care and proection of his family, where your Memorialist was educated and brought up, and his birth was not only a secret to his relations and friends, but was unknown to himself, until he arrived in Honduras at which time, Your Memorialist was made acquainted with a situation in life he was to fill, which, however respectable might be his circumstances, connexions and character would for ever deprive him of those dearest privileges of an Englishman ... Your Memorialist having resided in Honduras fourteen Years during which time he has ever continued to conduct himself with that probity and honor which should and ought to be the first duty of a Subject, thereby renderinf his conduct irreproachable, and obtaining the character of an honest man and good Citizen. From those mortifying and disgraceful distinctions, Your Memorialist is for ever deprived of the right of filling the office of Magistrate, of sitting as a Juror, or of holding any other public employment, not being considered White, although no visible distinction can be observed. /v Bolland 75 /CO 123/24"	
E 		1			18 Nov 1815	10 Jan 1816	Bishop of London asserts jurisdiction	"Magistrates reject appointment by Rev Armstrong of Church Clerk and School Master, noting this authority vested in Pub Mtg, but licence of Bishop of London asserts Hon is ""within his, the Bishop's Jurisdiction,” finally resolved in Rev favour by Mags"	Old		Rev John Armstrong / Bishop of Lon William Howley									"MM C [18 Nov, 19 Dec 1815, 10 Jan 1816]"	Burdon 2 181	"6 Nov 1815 Pub Mtg. Resolved that Public form into vestry each October Grand Court for election of two Churchwardens, with concurrence of Rev Armstrong /v Burdon 2 180 /MM C"	
		1			1 Jan 1816	30 Dec 1816	Runaway slaves est town	"Runaway slaves establish maroon town or hamlet, possibly marking first instance of this"	Sibun											"CO 123/26 [Arthur to Fraser 12 Jun 1817]
CO 123/29 [Arthur to Bathurst 16 May 1820]"	"Bolland 75 166
Burdon 2 184"	"1817 Sup reports ""a considerable body of runaway Slaves formed in the interior"" /CO 123/26 
1820 Arthur reports ""two Slave Towns, which it appears have been long formed in the Blue Mountains to the Northward of Sibun."" /CO 123/29"	
E 		1			24 Jan 1816	24 Jan 1816	Free School est	"Mag resolve that Free School be opened, with Sup and Mags as Governors, for 12 children born of poor free parents, selected by Mags"	Old											MM C [24 Jan 1816]	Burdon 2 183	Inc Female Free School < 10 Jun 1819 cf eg MM D [10 Jun 1819]	
E 		1			1 May 1816	3 Jul 1816	Home Grant	"Home Govt grant £1,000 Sterling towards building a bridge across River Balize, possibly marking first non-defence grant to Hon"	Old											"MM C [3 Jul 1816]
R 1 [6 Sep 1817]"	"Burdon 2 184, 202"	"Previous grants possibly made during periods of distress, and Acts prev passed by Eng Parliament to help Hon commerce eg xxx 

Likely bridge over Swamp leading from Front St. to [St. John's] Church cf MM C [29 Jul 1815]

6 Sep 1817 Home Treasury sanctions further grant up to £2,000 Sterl. for bridge /v Burdon 2 /R 1"	
E 		1			31 Mar 1817	31 Mar 1817	HRH Prince Regent entitles militia	HRH Prince Regent George Augustus Frederick confers on Militia Title of Prince Regent's Royal Honduras Militia	"London, Old"											"R 1 [31 Mar 1817] 
MM C [27 Jun 1817]"	Burdon 2 200	Title granted possibly = Prince Regent’s Loyal Honduras Militia /Burdon 2 201 fn 1	
E 		1			7 Apr 1817	7 Apr 1817	Medical Dept est	Magistrates accept tender for performing duties of Medical Department of Settlement for J £50 pa 	Old											"MM C [7 Apr 1817, 26 Dec 1818]"	Burdon 2 201	"26 Dec 1818 Mag Mtg. Tender to perform duties of Surgeon to Settlement for £100 pa accepted, Surgeon to furnish all medicines and make no extra charge /v Burdon 2 215 /MM C "	
		1			28 Oct 1817	28 Oct 1817	Lands vest in Crown	Unclaimed land made Crown Land by Proclamation	Old											CO 123/29 [Arthur to Bathurst 13 Sep 1820]	Bolland 75 239		
E 		1			9 Nov 1817	1 Dec 1817	Magistrates restrict Jury	"Mags in Special Court refuse right of jurors, per established custom, to both assess crimes and inflict punishments, on ground of its being contrary to laws of England, upon which a jury protests change without “Concurrence of the Public,” finally resolved in favour of Mags by Sup"	Old											"SC 1 [9, 26, 28 Nov, 1 Dec 1817]
R 1 [5 Jul 1818]"	Burdon 2 204	"1 Dec 1817 Special Court. Foreman of Jurors impeached by Sup, Prov Marshal directed to detain him until he furnished bonds of £1,000 in two sureties /v Burdon 2 /SC 1"	
E 				xxx	1 Dec 1818	30 oc 1819		"Mitchell, pirate, interrupts trade in Settlement"	Old							sev vessels		Cost = $1 pd for schooner for c ? m	Columbian NY X 2770 p2	"MM C [14 Dec 1818]
R 1 [1 Aug 1819]"	Burdon 2 214		
E 				xxx	1 Jan 1819	30 Dec 1820	Eboe Town Fire	"Fire destroys unknown portion of Eboe Town, possibly west of St. John’s Church"	Old											xxx	Bolland 75 204 = Gibbs 79		
E 		1			23 Feb 1819	2 Nov 1819	Arthur restricts Pub Mtg	"On Pub Mtg authorising Mags to procure Linguist, Sup disapproves, citing appointment of all Public officers lay with Crown, and so annuls Pub Mtg resolutions contrary to Crown prerogative, finally resolved in favour of Sup by Pub Mtg"	Old											"MM D [23 Feb, 2, 22 Jul, 2 Nov 1819, 5 Feb 1820]
R 1 [30 Nov 1819]
R 2 [1 Feb 1820] "	Burdon 2 216	"22 Jul 1819 Special Pub Mtg 34 present. Resolution by Chairman vesting appt of Linguist in Sup negatived by large majority. Resolution passed quoting from a letter by Lord Bathurst and giving opinion that directions quoted only authorised interference of Sup in event of an improper person being appointed to Pub Treasurer; and solemnly declaring that Inhabitants had never in any manner reinquished their valuable right nor by any documents had placed in hands of Crown nomination to all or any of the Public Officers of the Settlement. /v Burdon 2 /MM D

2 Nov 1819 Pub Mtg 53 present. Resolved that HM Sup provide himself with Linguist ... Carried unanimously, after proposer [at 23 Feb 1819 Pub Mtg] had stated that the tendency of the original resolution had not at the time occurred to him and that the Sup in objecting to it [Linguist appt by Mags] had only required ""what is the acknowledged privilege in every other Colony, the right of the Crown to nominate to Public Offices.” /v Burdon 2 /MM D

30 Nov 1819 Pub Mtg. Extract of Earl Bathurst to Sup ""More especially does HRH approve of your having refused to admit the novel pretension of a nomination of a Public Officer by the Magistrates instead of by yourself, and I am to instruct you in no case to recognize or admit any person in any Public Capacity whose actual Nomination or appointment shall not have orignated with yourself."" /v Burdon 2 225 /MM D /R 2"	
		1			29 Oct 1819	30 Oct 1819	R v Colquhoun	"Archibald Colquhoun charged with ""attacking in the most violent and outrageous manner the Honor and Integrity of HM Sup, by declaring fromt the Bench in Open Court that the money for a certain Bond had been illegally forced from him by HM Sup,” acquitted by Grand Court"	Old		Lt Col George Arthur / Magistrate Archibald Colquhoun									"MM D [29 Oct 1819]
GC AA [30 Oct 1819]"	Burdon 2 220		
E 		1			2 Nov 1819		Seal of Arms granted	"On request from Pub Mtg, xxx"	Old		Lt Col George Arthur									"MM D [2 Nov 1819, 22 Mar, 3 Apr 1820]"	Burdon 2 222	22 Mar 1820 Mag request Sup prepare device for Arms of Settlement /v Burdon 2 /MM D	
		1			13 Jan 1820	12 Feb 1820	Magistrates restrict Treasury	"Mag order Treasurer to fine Peter C. Wall and William Gentle £100 each for refusal to serve as Mag, but shortly thereafter refuse to issue writ of distress with instructions to sue for amount, which Treasurer protests is injurous to Public interest and contrary to established usage in recovery of fines"												"MM D [13 Jan 1820]
R 2 [12 Feb 1820]"	Burdon 2 223		
		1			15 Jan 1820	15 Jan 1820	Magistrates honour Gen. Gascoyne	"Magistrates assign £250 to Gen. Isaac Gasgoyne, MP Liverpool, for purchase of a piece of plate, for unceasing exertions in matter of [procuring from Home Gov] right of registry of vessels built in Hon"	Old		Gen Isaac Gascoyne									"MM D [15 Jan 1820]
R 2 [17 Jan 1820]"	Burdon 2 223	"25 Oct 1819 Pub Mtg Resolved that unanimous thanks of Mtg be given to Gen Gascoyne for unwearied exertions in procuring the establishment of regular courts of Justice [in Hon] /v 2 Burdon 220 /MM D

3 Nov 1818 Pub Mtg Vote of thanks to Gen Gascoyne for services particularly wrt benefit likely to result from Hon being placed upon a footing with HM NA Colonies in matter of wood shipped [to GB]. Grant £200 Sterl. to Gen Gascoyne as testimony of esteem. /v Burdon 2 214 /MM C"	
		1			5 Feb 1820	24 Jun 1820	Supreme Court est	"Royal Commission, per 59 Geo III 44, issued for a Supreme Court [ie a court higher than all former or current courts] for the Settlement, with Sup or Officer Commanding HM Troops in Hon always to be a member of Court, thereby removing Grand Court of Assize as highest court in Hon"	"London, Old"											"MM D [5 Feb 1820]
Sup Ct A [26 Jun 1820]"	Burdon 2 225	26 Jun 1820 First sitting of Sup Ct /v Burdon 2 /Sup Ct A	
E 				Rev 5	24 Apr 1820	22 May 1820		"Revolters destroy some cattle and commit one or two robberies, after which c 20 revolters surrender on being pardoned, while c 20 are eventually dispersed"	"Old, Mt Hope"		40 Neg slaves	Lt Col George Arthur / Lt. McPherson 2nd WIR Mjr. Noel					some cattle destroyed / 1 Store raided	Cost = £212.3.3 in supplies		"MM D [24, 27 Apr, 3 May, 24 Aug 1820]
Lon 24 xxx
R 1 [21 Oct 1820]
CO 123/29 [Arthur to Bathurst 16 May 1820]
CO 123/33 [Proclamation 3 May 1820]"	"Burdon 2 227
Bolland 75 156"	"16 May 1820 Col Arthur to Earl Bathurst. Reports he found the revolting slaves had been treated with unnecessary harshness by their owner and had good cause for complaint ... had therefore issued proclamation offering pardon to all who would surrender ... That his enquiry into [revolters'] grievances and his advice [to surrender] had been successful, only 20 of the principal body being left and those separated and negligible. /v Burdon 2 /Lon 24

4 Oct 1820 Mag Mtg Grant three pieces of plate, value £250 in all, to three officers of the WIR for their services against Runaway Slave Gangs. /v Burdon 2 234 /MM D"	
		1			24 Jun 1820	24 Jul 1820	Pub Mtg dissolved and its Constitution revised	"Public Meeting, after being adjourned four times, three of which being due to want of sufficient members, is dissolved by Chairman, possibly marking first such instance, resolved by later Pub Mtg, which further revises membership of Pub Mtg"	Old											"MM D [24 Jun, 10, 11, 12, 24 Jul 1820]"	Burdon 2 230	"24 Jul 1820 Pub Mtg. Resolved that qualifications to vote at Public Meetings be:—White British born subjects of 12 months residents with visible property of J £500 or respectable merchants carrying on business. Coloured British subjects born in Settlement with visible property of J £1,000. That 15 should be a quorum. That the Pub Mtg shall assemble on Monday after close of Sup and Grand Cts and that when formed the Chairman shall wait on Sup to apprize him thereof. That any member present in Belize or its vicinity who shall absent from Mtg except on acct of sickness shall be fined £10. Rules of procedure also passed. Resolutions contained in proceedings of Pub Mtg of 24 Jun 1820 and adjournments adopted and confirmed. /v Burdon 2 /MM D"	
		1			24 Jul 1820	24 Jul 1820	Pub Mtg proceedings codified	Pub Mtg codifies or revises rules of procedure	Old											MM D [24 Jul 1820]	Burdon 2 232		
		1			25 Jul 1820	25 Jul 1820	Legislative Constitution further revised	Pub Mtg significantly revise Legislative Constitution												MM D [25 Jul 1820]	Burdon 2 232	"25 Jul 1820 Pub Mtg. Resolves That fifteen persons be elected to form ""the General Assembly of Honduras"" with power to enact laws, lay on taxes and for all other Legislative puposes. That their qualifications be :— British Born. Service as Judge, Magistrate or Juror. Three years residence and conduct of business for himself. Possession of visible property value £2,000. That Gen Assl continue for 2 years from date of election. That Crown have power to dissolve Assl. That members must take oaths of Allegiance, Supremacy and Abjuration, and an oath as to qualifications. That the House [Assl] shall appoint a Speaker for approval by Sup. That ten members with Speaker form quorum. That qualifications for voting to elect members shall be :— British Born Subject. One year's duly enrolled residence. House Keeper possessing visible property value £300. That poll be open for 21 days, the returning officer taking oath as to qualifications from every voter. That Assl meet thrice a year, after close of Sup and Grand Cts in Feb, Oct and Jun, and sit for six days. That Sup may convoke Assl upon urgent occasions. That on House being formed at the three yearly mtgs Speaker and two members wait on Sup to apprize him thereof. That Speaker only have Casting vote. That certain rules of procedure be adopted. That Speaker present Bills passed to HM Sup who on last day of session shall come to House and signify his Assent or Dissent in writing at foot of each Bill. /v Burdon 2 /MM D"	
		1			15 Sep 1821	15 Sep 1821	Rep of CA est																
		1			1 Jan 1823	30 Dec 1823	Meighan v Meighan	"In Sup Ct, Anna Meighan sues former slave Priscilla Meighan to revoke manumission, but court considers Anna's reasons ""altogether insufficuent to deprive the plaintiff of freedom"" on the principle that, ""by the custom of this court, the question of freedom has ever taken precedence over matter of debt, where no objection was made at the time such deed was executed, or within a reasonable time after."""	Old		Anna Meighan / Priscilla Meighan									"CO 318/77 ff 9–11, App E = 106–112 [Report ... 24 Feb 1829]"	Bolland 75 132	"24 Feb 1829 Report of Commissioners of Inquiry. In the case of a black or coloured perons, *bona fide* in possession of liberty, but unable to produce a document of his manumission, on the trial of a civil action instituted by him, if an objection to that effect were taken by the defendent, the *onus probandi*, the examinants declared, would lie with the party so objecting. This is a proof of the liberality of the settlement [of Hon] in matters regarding liberty ... /v Bolland 75 128 /CO 318/77

Though freedom may have been distinguished from legal freedom, eg case of Lawrence Crawford v Patty Crawford, where Magistrates rule children of Patt were free and ""Lawrence Crawford had no just claim on them"" but by purchasing the woman's freedom the Magistrates inferred her one-time owner continued to have a legal right to her. /v Bolland 75 132 n4 /CO 123/44 [Cockburn to Goderich 23 Mar 1833]"	
		1			31 Jan 1823	31 Jan 1823	Anti-Slavery Society est	Society for the Mitigation and Gradual Abolition of Slavery Throughout the British Dominions established	London														
		1			29 May 1823	22 Dec 1823	1st Rep of Yuc																
E 		1			6 Dec 1825	6 Dec 1825	Magistrates introduce printing	Magistrates resolve to purchase printing press	Old											xxx	"Burdon III p288
Cave 1976 xxx"		
