Series E 0—548 / Events.
ID	NO	LOSSY	ASSAULT	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	NON—SP	NON—SP	PRESS	CF	VIA	NOTE	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	
E 273	273	0	0		20 May 1751	20 May 1751	Cadiz Conference	Members of Universidad de Cargadores de Indias meet at Casa de Contratación to recommend best way to rout Eng from Yuc to Sp Crown	Cadiz	Mathias Landaburu / Nicolás Mace / Pedro Manuel Álvarez / Jacinto Palomo / Francisco Fanales / Juan Joseph Redonda / Francisco de la Guardia / Juan de Goyeneche / Pablo de Wint y Joseph				"MEXICO,3099 ff 184-192
Bib N Esp MSS/1962"	Contreras 58								
E 		0	0		9 May 1752		Adm Knowles of Jam				Adm Knowles					"LONDON, May 9 [1752]. Admiral Knowles, who is gone to his Gov of Jamaica, carries Orders for two Men of War on that Station to sail to Honduras and Campeachy, to protect our Merchant Ships from the pretented Guarda Costas who take our Ships without his Catholick Majesty's Commission, under Colour of their having contraband Goods on board. /Harrop's Manchester Mercury 11 p52 Link: xxx /Pennsylvania Gazette 1232 p2 = 23 Jul 1752"							
E 277	277	0	0		1 Jun 1752		Omoa est	"Sp establish town very near Settlement, and thereafter assault it"	Omoa	Luis Diez de Navarro / Joseph Vásquez 10 Craft			Boston Evening-Post 886 p1	"CO 137/48 [22 Feb 1752]
MEXICO,3099,E.2 ff 11r–39r"	"Burdon 1 p78
Barke 16 187"	"BOSTON [14 Nov 1751] From the London and Gentleman's Magazine for the Month of AUGUST 1751. The Sp are building a Fort on the Island of Rattan, which we quitted by the Peace, with a View to intercept all Ships coming into the Bay of Hon to cut Logwood. /Boston News-Letter 2559 p2 = 14 Nov 1751

London, October 8 [1751]. By the Elizebeth, Blake, arrived int he River this Week from the Bay of Hon, we have advice, that five Sp Guarda Costas had been on the Musquetto Shore, and had drove the Indian Settlers there up into the Country; and from thence they proceeded to Rattan, where they designed to build a Fort, and keep a Squadron constantly, in order to intercept all Ships coming from the Bay of Hon. /Boston Evening-Post 856 p1 = 13 Jan 1752

New-York, Aug. 3 [1752]. By Capt. Furlow, in forty Days fromt he Bay of Hon, we have Advice, that the Sp have made a Settlement very near that Place, form whence they lately sent ten armed Crafts to the Bay, and carried off all the Negroes belonging to the Eng, which had obliged most of the Heads of the Bay to depart either to the Musqueto Shore or Jamaica. Capt. Furlow left but three Eng Vessels in the Bay, viz. the Capts. Man, Jones and Bowen, which were all of this Port. Capt. Shoals, who arrived here Yesterday, and Capt. McNamara, bound for Hamburgh, sail'd in Company with him form the Bay. /Boston Evening-Post 886 p1 = 10 Aug 1752

Town est. possibly Port Mahoo, “Spaniards were very assiduous in erecting Fortifications at Port Mahoo, being about 30 Leagues distance frmo the Old River's Mouth :  That there was at Port Mahoo two Ships with Stores, which brought there two Hundred and fifty Soldiers :  That at that Port, there was also two armed Brigs, two Galleys and several Sloops and Xebecks :  The Crews of all which Vessels serve alternately to work at the Fortifications, and cruize in Search of all Vessels bound to the Bay of Honduras, &c.” /Boston Post-Boy 926 p2

Robert Hodgson, Jamaica, to the Earl of Halifax. ... the Spaniards are now settling and fortifying [Rattan] and from [there] their Cruisers not only command and muzzle our Coast [Hon], but likewise intercept all vessels bound to the Bay /via Burdon 1 p78 /CO 137/48

Fort of San Fernando built by > 100 Neg prev seized fm Hon, most of which had been held at Bac /v Barke 16 193 /MEXICO,3099,E.2"		carried off all Neg					
E 284	284	0	0		6 Nov 1752	6 Nov 1752	Sp amnesty for slaves	Spanish King orders Governors grant freedom to slaves from English colonies on their converting to Catholicism	Madrid	Sp King Ferdinand VI of Spain				"CO 137/59 [6 Nov, 18 Nov 1752]"	Burdon I p79								
E 		0	0		11 Dec 1752	11 Dec 1752	Campeachy prisoners	Baymen or Pub Mtg or Fleet detain Sp under Flag of Truce	Old				"Pennsylvania Journal, or, Weekly Advertiser 536 p2 = 13 Mar 1753"			"NEW-YORK, March 5 [1753]. Last Saturday Night, Capt. Mann, in the sloop Bersheba of this Port, arribed here after a Passage of four Weeks form the Bay of Honduras, who informs us, That on the 11th of December last, N. S. two Spanish PA, with 28 Men, 8 Swivil Guns, and 25 Musket [ill] were seen in the Offing, under Colour of Flags of Truce, when they immediately manned out a Boat and brought them in: They say they did not come to exchange Prisoners, but in search of some of their Countrymen who escaped from Campeachy, with a very valuable Quantity of rich Goods belonging to four Spanish ships that were loading Logwood at that Place for old Spain; an Officer belonging to one of the ships being on board the PA, with a Protection from the Governour of Campeachy, and a particular Account of every thin taken: This Account not proving very satisfactory to the Baymen and immagining that Flags of Truce ought not to appear in so Warlike a Manner, they detained them until they should know the Particulars of their Errand. Capt Man left at the Bay, the Capts. Bowen, Guilford, Green and Jones of this Port, the John Galley, —; Capt Clark, and Capt Cavaly, of Boston; and , Capt Johnson, in the sloop Dolphin of Bermuda: And sailed in Company with the Capts. Colgan Shoals, (Capt. Phenix sailed for Jamaica some Time before) and Burger of this Port, Capt Griffin, in a ship for Bristol; Capt Church of RI, for Jamaica, and Capt. Huckson for RI. /PJWA 536"							
E 286	286	0	0		1 Jan 1753	30 Dec 1753	Raid of Ascensión	"Buccaneers or privateers raid unknown number os Maya towns in Bahía de Ascensión, after which Sp engage"	Bahía de Ascensión					xxx	Molina v 3 224	Trial at Mérida /v Molina v 3		11 convicted and hanged					
E 		0	0		1 Sep 1754	30 May 1755	Prov to Hon	Colonies of New-York and Massachusetts-Bay allow export of Provisions to Hon	"New York, Boston"					xxx		"CHAP. XXXIII An ACT more effectually to restrain the Exportation of Privisions and warlike Stores from the Colony of New-York. WHEREAS Representaions have come ... setting forth, That all Ways and Means for the French to come at Provisions, should, as far as possible, be cut off: And whereas one Act for that Purpose already passed, ... has not fully answered the Purpose intended thereby; Therefore, for the more effectual obstructing any Supplies of Provisions or warlike Stores which the French may have from this Colony, I. Be it Enacted ... That the Collectors of his Majesty's Customs ... shall not clear any Vessel laden in Part of wholly, with Provisions or warlike Stores, excpt so much only as may be for the proper Use of such Vessel or Vessels, and except Vessels bound to the Bay of Honduras, which shall be allowed to carry any Quantity of Provisions, not exceeding Seven Tons each, the Stores of the Vessels included. /NY Laws [NY, James Parker, 1755] p98 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/iw-search/we/Evans?p_action=doc&p_topdoc=1&p_docnum=1&p_sort=YMD_date:D&p_product=EAIX&p_text_direct-0=document_id=(%200F2FD34B034C8B20%20)&p_docid=0F2FD34B034C8B20&p_theme=eaidoc&p_queryname=0F2FD34B034C8B20&f_openurl=yes&p_nbid=G5DN46YAMTYyMjE5NzY3NS45NjE0MDA6MTo0OjgzNzg& 

May 1755. Petition of Samuel Sturgis, and Solomon Davis, of Boston ... are lading a Vessel for a Voyage to the Bay of Honduras, and (in order to make up a suitable Cargo) propose to send a Quantity of Provisions to be disposed of there : ... Ordered, That the Prayer of this Petition be so far granted ... provided that they give Bond to the Impost-Officer in the Sum of Five Hundred Pounds Sterling, to carry the same to the said Bay, and there dispose of it ... /House of Rep of Mass Journal [Boston: Samuel Kneeland: 1755] p294 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/iw-search/we/Evans?p_action=doc&p_topdoc=1&p_docnum=1&p_sort=YMD_date:D&p_product=EAIX&p_text_direct-0=document_id=(%2010415E93181131A0%20)&p_docid=10415E93181131A0&p_theme=eaidoc&p_queryname=10415E93181131A0&f_openurl=yes&p_nbid=M75U5EDYMTYyMjE5ODA5MS4yNDU4OTk6MTo0OjgzNzg& 

May 1756. Petition of Thomas Boylstone of Boston ... praying Liberty to export about 400 Barrels of Provisions ... for Jamaica and the Bay of Honduras ... Ordered, That the Prayer of this Petition be granted; ... /House of Rep of Mass Journal [Boston: Samuel Kneeland: 1756] p125 Link: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=10415E939519AC20&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340 "							
E 295	295	0	0		14 May 1755	14 May 1755	Dedicated defence force in Hon	"Baymen ask Gov Knowles of Jam for a detachment of 40 soldiers for their protection, to be paid for by sale of logwood at Jam at Baymen’s risk, after which Gov Knowles, on Council of Jam authorisation, orders detachment of 20 soldiers to Hon"	"Old or St. George’s, Spanish Town"		"27 Baymen inc William Canoon, George Hewin, Charles Jeffreys, John Johnes"	Gov Knowles / Lieut. Lawrie / Lieut. Hodgson / Capt. Lowes		"CO 137/60 [13 Apr, 14 May 1755]"	Burdon 1 p81	"Orders from Capt. Hodgson, Black River, to Lieut. Lawrie. Sir, You will repair forthwith on board the Snow, Commanded by Captain Lowes, bound for the River Belese, in the Bay of Honduras, with the Detachment from my Company under your Command, which, disembarking upon your Arrival, you will post wherever the Chief of their People there shall think best for Their Security. And as is it thought proper, that the Soldiers should go apparel'd like Baymen in Frocks and Trowsers in order to give as little Umbrage as possible to the Spaniards, ... You will, of course, enforce every Regulation made, or to be made, among the Inhabitants of the Bay, that is conducive to the Unanimity, Commerce and Benefit of the whole /Burdon 1 p82 /CO 137/60 [14 May 1755]

BOSTON [7 Jul 1755]. By a Vessel just arrived from Jamaica, we are informed, ... That the Bay of Hon was about to be resettled by the English, who had erected a Fort at the Mouth of the old River, under Cover of two of HM Ships of War, sent thither by Gov Knowles.—That several Vessels were at Jamaica with some of the old Baymen, who had retired to SC, Georgia, &c. upon the Sp last Invasion, and were preparing to go to their old Place and Trade. ... /Boston Evening-Post 1036 p4 = 7 Jul 1755

NEW-YORK, Aug 11 [1755]. Last Friday Night, Capt Winthorp arrived here in 33 Days from teh Bay of Hon, who informs us, that the Eng are again in Possession of that Place; and that they have built a tolerable good Fort at the Hallover, under the Inspection of one Mr. Jones, an Engineer, from Jamaica. Capt Winthrop left in the Bay, Capt Spurrier, in a Ship from Holland; Capt Mackey in a Ship for London; Capt Low in a Snow, and Capt Thomas Ross, both for Jamaica; a Ship of 700 Tons, called the Bland, for the North of England; and Capt Smith, in a Sloop belonging to Maryland, and Capt John Ross, both for this Place. /New-York Mercury 157 p3 = 11 Aug 1755

NEW-YORK, April 18 [1757]. Monday last Capt Stewart, in a Schooner, arrived here in five Weeks from Hon-Bay, and informs us, that an Eng Man of War commanded by Capt Forrester, came up there from Port-Mahoe, with a Number of Eng Prisoners that had been carried into that Place by the Sp GC; and was to sail in a few Days, in order to cruize off the River Mississippi. /Pennsylvania Gazette 1478 p2 = 21 Apr 1757 "							
E 296	296	0	0		24 May 1756		Gov. Knowles Demolishes Bay Fort	Gov Knowles of Jamaica demolishes forts per Treaty	Old				"New-York Mercury 206 p2
New-York Mercury 224 p3"			"BOSTON [12 Jul 1756]. The same Day [Saturday last] Capt Maccarty arrived here in 7 Weeks from the Bay of Hon, and informs, tha the Fort which the Eng have had for some Time there, was demolished by Order of Gov Knowles, and that the Soldiers, Cannon, &c. were put on board Vessels to transpot them to the Moschetto Shore, the Sp not allowing us to erect Fortifications on their Land, tho' they are willing to permit us to cut Logwood. /Boston Evening-Post 1089 p2 = 12 Jul 1756

See Hon letter in New-York Mercury 224 p3 = 22 Nov 1756 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEEFD8AD9D1FC0%402362752-10DEEFD907534268%402-10DEEFD9A4E897D8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras%252C%2BDated%2BOctober%2B6%252C%2B1756

BOSTON [13 Dec 1756]. By Capt Bryant from the Bay of Hon, we are informed, that the Sp had demolished the Fort we had built at the Mouth of the River, and thrown the Cannon (18 in Number) into the Sea,--That they had fitted out a Guard de Costa of 12 Guns, to take all Vessels that had Logwood on board, and that she had actually taken 2 Vessels belonging to New-York. /Boston Evening-Post 1111 p2 = 13 Dec 1756

See Merida letter in New-York Gazette, or Weekly Post-Boy 742 p2 = 28 Mar 1757 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAE3D52528D40%402362878-10DAAE3D88E855A0%401-10DAAE3E6392DB78%40Copy%2Bof%2Ba%2BLetter%2BSent%2Bby%2BSeignor%2BS.%2BDomingo%252C%2Bin%2Ba%2BFlag%2Bof%2BTruce%252C%2Bfrom%2Bthe%2BGovernor%2Bof%2BMeridith

PHILADELPHIA, April 21 [1757]. From Jam there is Advice, that the Gov of that Island, and the Admiral stationed there, have received Orders from Home to protect the Trade in the Bay of Hon; that the Wager Man of War, Capt Preston, was dispatched accordingly to notify the same. That Trade, it is said, was never more open, nor carried on with greater Success, than at present. /New-York Gazette, or Weekly Post-Boy 745 p2 = 25 Apr 1757"				min 2 vessels taken min	"fort demolished, 18 cannon sunk [Knowles ordered?]"		
E 297	297	0	0		1 Jan 1757	31 Dec 1757	Merchant houses in Hon	"First record of ownership of 12 Merchant Vessels by Shoremen, and so probably by Baymen"	Mosquito Shore		Robert Hodgson			CO 123/1	Burdon I p85								
E 300	300	0	0		1 Jan 1758	30 Dec 1758		Sp order building of 3 forts near Hon	Omoa					"MEXICO,3099,E.2 ff 11r–39r"	Barke 16 178	Unclear whether order is fulfilled / Forts = San Fernando in Omoa / 2 other forts on Río Matina [Sp Hon] /v Barke 16							
E 306	306	0	0		3 Nov 1761	30 Dec 1761	Jacinto Canek Rebellion	"Jacinto Canek leads Maya residents of Cisteil against Sp, inc Battle of Cisteil"	Cisteil [Yuc]	Capt Tiburcio Cosgaya / Estanislao del Puerto/ Cristóbal Calderón 500 men	"Jacinto Canek 1,500 men"					Possible cause for refugees to Hon /v Bolland 75 p49							
E 		0	0		1 Jan 1763	30 Dec 1763	Masonic Lodge est	"Lodge of Amity established, possibly first Masonic Lodge in Hon"	St. George’s					xxx		"Lodge of Regularity at St. John's Hall in Black R, Mos Shore also est 1763 /John Coustos, Free-Masonry [NY, 1797] p263 Link: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F3019F310FBEA68&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340 "							
E 307	307	0	0		10 Feb 1763	10 Feb 1763	Treaty of Paris								"Burdon 1 p87
Coxe v 3 xxx"	"Genoa, Sep 19 [1761]. Our last letters from Spain advise, that the Eng Ambassador had frequent conferences witht he Ministry on the difference that hath arisen between the courts of Madrid and London, touching the Bay of Hon: which affair the Catholic King wants to have settled soon. /New-York Mercury 490 p2 = 21 Dec 1761

Hague, Oct. 28 [1761]. Translation of the Memorial relative to Spain, presented by M. de Bussy to the Court of London. ""The King [of Spain] will not conceal from HBM, that the differences of Spain with England, alarm and make him dread, if they shou'd not be adjusted, a new War in Europe and America. The King of Spain has confided in his Majesty, the three points of discussion which subsists between his Crown and that of GB. There are, 1. ... 3. The Destruction of the English Establishments formed on the Sp Territory in teh Bay of Hon. These three Articles may be easiy settled agreeable to the justice of the two Sovereigns, ..."" /Pennsylvania Gazette 1762 p1 = 21 Jan 1762 / See further details re Memorial in New-York Mercury 516 p2 = 21 Jun 1762 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF4C2A84A6C30%402364789-10DEF4C2D822CD70%401-10DEF4C3952B4020%40London%252C%2BApril%2B15 

See map MP-MEXICO,198 /MEXICO,3099 [Remírez de Estenoz a Arriaga a 12 mar 1764]
On Hon logwood talks, see AHN, Estado 2848 [Negociaciones entre Conde de Fuentes y Wallz, Londres a 23 sep 1760 / Respuesta del Rey ... Whitehall a 26 sep 1760] /v Barke 16 152 / On later developments see Bib Real, DIG/II/2823 ff 235r–252r [Dictamen de Rojas y Contreras ... Madrid a 27 jun 1767] /v Barke 16 153

NEWPORT, Mar 14 [1763]. All the Privateers at New-Providence [Bahamas], said to be about 12 Sail, were converted into Trading Vessels, and preparing to sail to the Bay of Hon; a great Number of Seamen were consequently discharged, who were so destitute of Employ that the were glad to go on board Vessels begging to work for their Victuals, but were not very affectionately received by the Vessels belonging to the Northward. /Newport Mercury [RI] 236 p3 = 14 Mar 1763 / CHARLES-TOWN, (SC) Mar 12 [1763]. We hear from New-Providence, that since they received the news there of a cessation of hostilities, most of their privateers are fitting out for the bay of Hon, to cut logwood. /Pennsylvania Journal, or, Weekly Advertiser 1060 p1 = 31 Mar 1763 / LONDON, Aug 6 [1763]. Some young Gentlemen who are gone with the last Ships to Jamaica in the Mercantile Way, have Orders to go down to the Bay of Hon, and consider of a proper Place for a Settlement; as by the late Treaty of Peace that Place is now open to British Subjects. /New-York Gazette 253 p1 = 17 Oct 1763"							
E 		0	0		1 Jan 1764	30 Dec 1764	Arnold duel	"Benedict Arnold of Connecticut duels an Eng captain, during which the latter is wounded"	Old	Benedict Arnold			xxx										
E 309	309	0	0		14 May 1764	14 May 1764	Print notice by Public Meeting 	"Account of Logwood Prohibition, of petition to Gov of Jam, and of order to evacuate R Hondo by Joseph Rosado on 22 Feb 1764 [verbatim, translated], carried to Philadelphia by vessel, possibly marking first print, published public notice by Public Meeting"	Old	Joseph Rosado			New-Hampshire Gazette 401 p2										
E 310	310	0	0		1 Jan 1765	30 Dec 1770	Commentaries on the Laws of England published																
E 313	313	0	0		9 Apr 1765	9 Apr 1765	Burnaby’s Code	Mr. J. Maud and Adm. Burnaby codify Settlement’s common law	St. George’s		Joseph Maud / Adm. William Burnaby		Boston News-Letter 3535 Supplement p1	Laws 1765—1810	Burdon I p100	"Signatures inc women and [likely] unpropertied men

See CO 5/114 Link: http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_114_065

See Capt Fairchild account in New-York Gazette 337 p2 = 20 May 1765 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D348D9B0AD3268%40EANX-10D376DD1496FB18%402365853-10D376DD30BD7A60%401-10D376DDB4A5C498%40New-York%252C%2BMay%2B20

See Maud obituary in New-York Gazette, and Weekly Mercury 1027 p3 = 1 Jul 1771 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF785DC1397230%402368086-10DF785E86313480-10DF7860D016FCF0"							
E 		0	0		30 May 1765	30 May 1765	Quarterly Court formalised	Quarterly Courts established or further formalised under Authority granted by Burnaby’s Code	St. George’s				Pennsylvania Gazette [sn] p2 = 18 Jul 1765			"NEW-YORK, July 15 [1765]. Tuesday last Capt Moore arrived here form Hon-Bay, in 30 Days : ... On the 30th of May, a Court of Judicature commenced in the Bay of Hon, in Conformity to the Laws and Regulations prescribed by Sir William Burnaby ont eh 11th of April last, and then agreed to by HBM Subjects residing there: At which, sundry Matters (long in Controversy) were brought to issue. A Court will continue to be held there every three Months, in order to determine any Disputes that already have, or may hereafter arise, between the British Inhabitants in that Part of the World. /Pennsylvania Gazette [sn] p2 = 18 Jul 1765 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34C656629FD30%40EANX-13544F4D60046940%402365912-13541401EC607D28%401-137BAC16CF04D081%40%255BPeople%253B%2BJuggler%253B%2BRoom%253B%2BTricks%255D"							
E 320	320	0	0		1 Jan 1766	31 Dec 1766	Free Neg at Bacalar	First mention of free Neg in Bacalar = 30 or 40.	Bacalar					xxx	"Gerhard 73 = Calderón Quijano, 1944, p. 199; 1953, pp. 214–215, 283 "								
E 322	322	0	0		15 May 1766	15 May 1766	Hon currency	First record of Bay currency worth a quarter of Jamaica currency	St. George’s					CO 123/5	Burdon I p112								
E 		0	0		1 Jan 1768	11 Aug 1768	Hon Packet begun	"A Honduras Packet service likely begun, possibly first"	St. George’s		Capt Joseph Everett					"Custom-House, New-York, Inward Entries [11 Aug 1768]. ... Honduras Packet, [Capt] Everet, [from] Honduras Bay. /New-York Journal 1336 p3 = 11 Aug 1768 / NEW-YORK, Aug 15 [1768]. Monday last the Sloop Honduras Packet, Capt Everitt, arrived here in 38 Days from the Musqueto Shore: ... /New-York Gazette, and Weekly Mercury 876 p3 = 15 Aug 1768

CUSTOM-HOUSE, NEW-YORK, OUTWARDS [22 Aug 1768]. ... Sloop Honduras-Packet, Joseph Everett, for Jam. ... /New-York Gazette, or Weekly Post-Boy 1338 p3 = 22 Aug 1768

New-York, Jan 29 [1770]. Capt Craig, in 6 Weeks from the Bay of Hon, informs us, that Capt Armor, in the Honduras Packet, sailed fromt he Bay some Time before him, for this Port, but sprung a Leak a few Days after, was obliged to return, and the Vessel sunk soon after she got into the Bay, but it was expected she could be repaired again. /New-York Gazette, and Weekly Mercury 953 p3 = 29 Jan 1770"							
E 		0	0		1 Jun 1768	30 Jun 1768	Stanly affair	"Arrest of John Wright Stanly without trial, xxx"	St. George’s		"John Wright Stanly, Lt John Botham"	"Jonathan Cowpland, Thomas Langon, William Wornick"	New-York Journal 1407 Supplement p1 = 21 Dec 1769			See account in NYJ 1407 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DC31E31E090A88%40EANX-10DEECC34EFFA150%402367529-10DEECC3631A9280%400-10DEECC41B45EF00%40Philadelphia%252C%2B1st%2BDecember%252C%2B1769.%2Bto%2Bthe%2BImpartial%2BPublic							
E 		0	0		25 Nov 1768	26 Nov 1768	Hon murder tried in SC	"Grand Court, Pub Mtg, Mag, Baymen or Fleet send crew of Capt William Harrop, charged with murder of their Capt, to be tried at Charlestown, rather than in Bay"	St. George’s		Capt William Harrop	Matthew Turner				"PHILADELPHIA, Jan 12 [1769]. By Capt Albro, from the Bay of Hon (which he left the 26th of November) we learn, that the night before he sail'd, a difference arose between Capt Arpe, and his seamen, in a ship belonging to Liverpool, then lying at St. George's Key, when the Captain was stabbed in three different places, and expired soon afterwards; the murderers were all secured in iros, and were to be sent to Jamaica, in order to take their trials for the same: Capt Ivory, in a sloop for this port, was to sail a day or two after him.—He left in the Bay the Capts Anderson, Webb, Morris, Dowell, and Rogers, all belonging to New-York. /New-York Gazette, or Weekly Post-Boy 1359 p3 = 16 Jan 1769

CHARLES-TOWN, SC, Apr 17 [1769]. In the ship Bacchus, which arribed here on Friday, from Hon, was brought prisoner they unhappy person charged with the murder of Capt Hartop of the said ship, as formerly mentioned. This day the prisoner was committed to Gaol, and we hear will soon take his trial at a court of admiralty sessions. /New-York Gazette, or Weekly Post-Boy 1374 p2 = 1 May 1769

Charlestown, Apr 24 [1769]. To-morrow a Court of Admiralty Sessions is to be holden for the trial of one Turner, for the alledged murder of William Harropp, late Master of the ship Bacchus, on board the said ship when killed at the Bay of Hon. /Georgia Gazette 292 p3 = 3 May 1769

LIVERPOOL, Mar 3 [1769]. By letters from the Bayof Hon, dated 12th of Dec. 1763, we are informed that on the 25th ult. at night, Capt William Harrop, of the Bacchus, hearing a noise among his men in the steerage, went to order them to their hammocks, which they all obeyed, except Matthew Turner, whom the Capt struck at for using abusive language. The man immediately seized the Capt's scimitar with one hand, and with the other gave him three stabs in the left breast with a long knife, of which wounds he expred instantly upon the quarter deck. By assistane from the ships in the harbour the murderer was secured. The next morning the coroner's jury brought in their verdict wilful murder, and the man himself has since contested the fact. As they have no authority to try for life there, the fellow is confined on board the ship to take his trial on her arrival. /Virginia Gazette 939 p2 = 18 May 1769 / See verbatim in New-York Journal 1378 Supplement p1 = 1 Jun 1769 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DC31E31E090A88%40EANX-10DEEC83E5BA2460%402367326-10DEEC8400897B50%400-10DEEC84E634DA70%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras%252C%2BDated%2BDec.%2B12%252C%2B1768

See trial in New-York Gazette, or Weekly Post-Boy 1377 p2 = 22 May 1769 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAB09E4906EDA8%402367316-10DAB09E940778D0%401-10DAB09F5FDA4430%40Charles-Town%252C%2B%2528South-Carolina%2529%2BMay%2B2

Possibly see, NEW-YORK, Aug 30 [1773]. About two Months ago, died at Hon, of a Wound he received in a Scuffle with Mr. Hugh Mortry, of that Place, Mr. John Armstrong, formerly of this City: The Affair happened in the Night, and no Person being present, Mortry was sent to Jamaica to take his Trial. /New-York Gazette, and Weekly Mercury 1140 p3 = 30 Aug 1773"							
E 330	330	0	0		1 Jan 1769	30 Dec 1769	Arkwright water frame	"Richard Arkwright receives patent no. 931 for ""A new Piece of Machinery never before found out, practised, or used, for the Making of Weft or Yarn from Cotton, Flax, and Wool, ... .”"	London		Richard Arkwright												
E 331	331	0	0		1 Jan 1770	31 Dec 1770	Shipwright in Hon	"Oswall Eves builds 30 tonne vessel or schooner, and is sold for J £ 350 in 1775"	xxx		Oswall Eves			MSR 13 Mar 1775	Burdon I p125	"1775, March 13th. Recorded that ""A Vessell or Schooner of the burthen of Thirty Tons or thereabouts built in the Bay of Honduras in the year 1770 by Oswall Eves"" was sold to a Mosquito Shore settler for £350 Jamaica Currency. /Burdon 1 p125 /MSR"							
E 334	334	0	0		16 Jul 1770	16 Jul 1770	Yuc granted free trade	Real cédula grants Yucatan and Campeche free trade to select Sp ports								"See M. I. Campos Goenaga, Link: https://www.redalyc.org/pdf/351/35102904.pdf"							
E 337	337	0	0		1 Jan 1771	30 Dec 1771	Cromford Mill	"Richard Arkwright builds first water-powered spinning mill in Cromford, Derbyshire, England."	Cromford		Richard Arkwright												
E 		0	0		1 Jun 1771	30 Jul 1771	Pirates apprehended	Pirates apprehended in Hon	St. George’s				New-York Journal 1494 p414 = 22 Aug 1771			See account in NYJ 1494 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DC31E31E090A88%40EANX-10DEED9892F64750%402368138-10DEED98E3F80200%401-10DEED998782ED88%40St.%2BJohn%2527s%252C%2Bin%2BAntigua%252C%2BJuly%2B27							
E 345	345	0	0		26 May 1773	26 May 1773	Select Committee of Public Meeting	Public Meeting appoints special Committee to look into and report on the Thetis Affair	St. George’s		Chairman of Committee on Thetis Richard Hoare			"ADM 1/239 [26, 27, 29 May, 25 Sep 1773]"	Burdon 1 p120	"1773, May 26th. Meeting of the Inhabitants, St. George's Key. ... The Inhabitants having assembled at the House of Mrs. Hannah Morey about the hour of ten in the forenoon,"" the Clerk of the Court read [Sir George Bridges] Rodney's and [Captain xxx] Davey's letters [regarding the Thetis Affair]. A Committee was appointed to prepare an address to Rodney and with permission to procure from the settlers copies of letters bearing on the ""Thetis"" and to examine persons concerned. All absentees to be notified so that the Committee's Report on the question may be laid before them as soon as possible. /via Burdon 1 p120 /Adm 1/239 [26 May 1773]"							
		0	0		1 Feb 1775		Boston grant	"Baymen or Pub Mtg donate 100,000 ft of Mahogany for the poor of Boston"	St. George’s				Pennsylvania Evening Post I 18 p72 = 4 Mar 1775			"NEW-YORK, Mar 2 [1775]. By Capt Quill, who arrived here yestarday in thirty days fm Hon, we learn that the inhabitants of that place are about to send a donation of one hundred thousand feet of mahogany, to be sold in Europe, for the relief of the poor of Boston. /PEP I 18"							
